Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2700102,Água Branca,18.660,9.650,9.726,5.100,14.276,19.376
2700201,Anadia,17.849,8.563,8.860,8.950,8.473,17.423
2700300,Arapiraca,186.466,101.901,112.166,181.562,32.505,214.067
2700409,Atalaia,40.552,22.230,22.149,22.451,21.928,44.379
2700508,Barra de Santo Antônio,11.351,7.076,7.152,13.240,988,14.228
2700607,Barra de São Miguel,6.379,3.765,3.808,6.521,1.052,7.573
2700706,Batalha,14.799,8.386,8.690,12.042,5.034,17.076
2700805,Belém,5.919,2.222,2.329,1.872,2.679,4.551
2700904,Belo Monte,6.822,3.551,3.481,1.171,5.861,7.032
2701001,Boca da Mata,24.227,12.772,13.008,17.455,8.325,25.780
2701100,Branquinha,11.325,5.379,5.207,6.673,3.913,10.586
2701209,Cacimbinhas,9.552,5.049,5.148,5.404,4.793,10.197
2701308,Cajueiro,18.975,10.078,10.332,16.485,3.925,20.410
2701357,Campestre,6.223,3.291,3.308,5.541,1.058,6.599
2701407,Campo Alegre,41.028,25.031,25.800,22.170,28.661,50.831
2701506,Campo Grande,9.134,4.436,4.596,4.185,4.847,9.032
2701605,Canapi,17.334,8.661,8.587,5.538,11.710,17.248
2701704,Capela,18.693,8.430,8.647,12.650,4.427,17.077
2701803,Carneiros,6.585,4.058,4.232,4.702,3.588,8.290
2701902,Chã Preta,7.760,3.644,3.502,4.488,2.658,7.146
2702009,Coité do Nóia,11.993,5.421,5.505,3.737,7.189,10.926
2702108,Colônia Leopoldina,17.493,10.073,9.949,15.319,4.703,20.022
2702207,Coqueiro Seco,5.134,2.758,2.765,4.970,553,5.523
2702306,Coruripe,48.846,25.761,26.399,46.073,6.087,52.160
2702355,Craíbas,20.789,11.155,11.488,7.331,15.312,22.643
2702405,Delmiro Gouveia,42.995,23.053,25.037,34.849,13.241,48.090
2702504,Dois Riachos,11.066,5.454,5.425,5.084,5.795,10.879
2702553,Estrela de Alagoas,16.341,8.398,8.856,4.031,13.223,17.254
2702603,Feira Grande,21.270,10.562,10.763,3.425,17.900,21.325
2702702,Feliz Deserto,3.836,2.125,2.207,3.468,864,4.332
2702801,Flexeiras,11.979,6.247,6.092,8.023,4.316,12.339
2702900,Girau do Ponciano,29.574,18.176,18.449,11.298,25.327,36.625
2703007,Ibateguara,15.105,7.555,7.578,9.336,5.797,15.133
2703106,Igaci,25.584,12.275,12.922,6.193,19.004,25.197
2703205,Igreja Nova,21.451,11.750,11.548,4.776,18.522,23.298
2703304,Inhapi,17.768,8.813,9.089,6.699,11.203,17.902
2703403,Jacaré dos Homens,5.720,2.671,2.742,3.032,2.381,5.413
2703502,Jacuípe,7.313,3.580,3.406,4.344,2.642,6.986
2703601,Japaratinga,6.868,3.871,3.881,3.305,4.447,7.752
2703700,Jaramataia,5.788,2.807,2.755,2.917,2.645,5.562
2703759,Jequiá da Praia,0,6.131,5.904,2.879,9.156,12.035
2703809,Joaquim Gomes,21.488,11.535,11.046,14.483,8.098,22.581
2703908,Jundiá,4.680,2.126,2.076,2.827,1.375,4.202
2704005,Junqueiro,23.832,11.754,12.100,7.819,16.035,23.854
2704104,Lagoa da Canoa,19.988,8.973,9.280,9.165,9.088,18.253
2704203,Limoeiro de Anadia,24.263,13.424,13.568,2.246,24.746,26.992
2704302,Maceió,797.759,436.405,496.203,931.984,624,932.608
2704401,Major Isidoro,17.639,9.269,9.632,9.310,9.591,18.901
2704906,Mar Vermelho,4.078,1.821,1.831,1.638,2.014,3.652
2704500,Maragogi,21.832,14.515,14.231,18.622,10.124,28.746
2704609,Maravilha,13.687,5.195,5.081,5.129,5.147,10.276
2704708,Marechal Deodoro,35.866,22.705,23.289,43.406,2.588,45.994
2704807,Maribondo,15.145,6.534,7.080,9.977,3.637,13.614
2705002,Mata Grande,25.032,12.338,12.364,5.676,19.026,24.702
2705101,Matriz de Camaragibe,24.017,11.589,12.191,22.095,1.685,23.780
2705200,Messias,11.990,7.703,7.979,14.263,1.419,15.682
2705309,Minador do Negrão,5.399,2.618,2.662,2.252,3.028,5.280
2705408,Monteirópolis,7.240,3.359,3.585,2.518,4.426,6.944
2705507,Murici,24.671,13.276,13.430,22.104,4.602,26.706
2705606,Novo Lino,10.375,6.122,5.947,7.337,4.732,12.069
2705705,Olho d'Água das Flores,19.417,9.723,10.644,13.992,6.375,20.367
2705804,Olho d'Água do Casado,7.059,4.276,4.215,4.027,4.464,8.491
2705903,Olho d'Água Grande,4.847,2.463,2.494,1.203,3.754,4.957
2706000,Olivença,10.369,5.566,5.491,3.147,7.910,11.057
2706109,Ouro Branco,10.077,5.438,5.473,6.873,4.038,10.911
2706208,Palestina,4.523,2.474,2.638,3.237,1.875,5.112
2706307,Palmeira dos Índios,68.060,33.621,36.813,51.655,18.779,70.434
2706406,Pão de Açúcar,24.351,11.754,12.055,10.772,13.037,23.809
2706422,Pariconha,10.086,5.107,5.139,2.796,7.450,10.246
2706448,Paripueira,8.049,5.592,5.757,10.051,1.298,11.349
2706505,Passo de Camaragibe,13.755,7.510,7.262,7.239,7.533,14.772
2706604,Paulo Jacinto,7.485,3.631,3.795,4.908,2.518,7.426
2706703,Penedo,56.993,29.310,31.079,45.011,15.378,60.389
2706802,Piaçabuçu,16.775,8.626,8.593,10.452,6.767,17.219
2706901,Pilar,31.201,16.172,17.140,31.808,1.504,33.312
2707008,Pindoba,2.926,1.420,1.446,1.637,1.229,2.866
2707107,Piranhas,20.007,11.301,11.751,13.191,9.861,23.052
2707206,Poço das Trincheiras,13.222,7.003,6.870,2.043,11.830,13.873
2707305,Porto Calvo,23.951,12.761,12.957,20.220,5.498,25.718
