Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1600105,Amapá,7.121,4.186,3.819,6.926,1.079,8.005
1600204,Calçoene,6.730,4.795,4.169,7.301,1.663,8.964
1600212,Cutias,3.280,2.393,2.241,2.409,2.225,4.634
1600238,Ferreira Gomes,3.562,3.033,2.739,4.161,1.611,5.772
1600253,Itaubal,2.894,2.317,1.950,1.766,2.501,4.267
1600279,Laranjal do Jari,28.515,20.350,19.455,37.824,1.981,39.805
1600303,Macapá,283.308,195.497,202.416,380.937,16.976,397.913
1600402,Mazagão,11.986,8.977,8.053,8.280,8.750,17.030
1600501,Oiapoque,12.886,10.666,9.760,13.873,6.553,20.426
1600154,Pedra Branca do Amapari,4.009,5.833,4.940,5.970,4.803,10.773
1600535,Porto Grande,11.042,8.903,7.922,10.759,6.066,16.825
1600550,Pracuúba,2.286,1.990,1.793,1.867,1.916,3.783
1600600,Santana,80.439,50.361,50.842,99.094,2.109,101.203
1600055,Serra do Navio,3.293,2.335,2.074,2.575,1.834,4.409
1600709,Tartarugalzinho,7.121,6.599,5.836,6.501,5.934,12.435
1600808,Vitória do Jari,8.560,6.439,6.006,10.318,2.127,12.445
Total,Amapá,477.032,334.674,334.015,600.561,68.128,668.689
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
