Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1300029,Alvarães,12.150,7.408,6.672,7.878,6.202,14.080
1300060,Amaturá,7.308,4.986,4.671,4.945,4.712,9.657
1300086,Anamã,6.563,5.434,4.759,4.174,6.019,10.193
1300102,Anori,11.320,8.497,7.792,9.989,6.300,16.289
1300144,Apuí,13.864,9.571,8.488,10.606,7.453,18.059
1300201,Atalaia do Norte,10.049,7.851,7.298,6.891,8.258,15.149
1300300,Autazes,24.345,16.829,15.047,13.885,17.991,31.876
1300409,Barcelos,24.197,13.814,11.901,11.160,14.555,25.715
1300508,Barreirinha,22.579,14.316,13.045,12.422,14.939,27.361
1300607,Benjamin Constant,23.219,17.246,16.145,20.132,13.259,33.391
1300631,Beruri,11.038,8.153,7.347,7.795,7.705,15.500
1300680,Boa Vista do Ramos,10.482,7.948,6.973,7.521,7.400,14.921
1300706,Boca do Acre,26.959,15.545,14.335,19.273,10.607,29.880
1300805,Borba,28.619,17.953,16.499,14.409,20.043,34.452
1300839,Caapiranga,8.803,5.776,5.133,5.140,5.769,10.909
1300904,Canutama,10.737,6.868,5.859,6.682,6.045,12.727
1301001,Carauari,23.421,13.195,12.505,19.754,5.946,25.700
1301100,Careiro,27.554,16.922,15.709,9.440,23.191,32.631
1301159,Careiro da Várzea,17.267,12.707,11.256,1.000,22.963,23.963
1301209,Coari,67.096,39.429,36.480,49.638,26.271,75.909
1301308,Codajás,17.507,12.029,11.090,15.808,7.311,23.119
1301407,Eirunepé,26.074,15.791,14.875,22.178,8.488,30.666
1301506,Envira,19.060,8.395,7.933,10.553,5.775,16.328
1301605,Fonte Boa,31.509,11.744,10.915,15.039,7.620,22.659
1301654,Guajará,13.220,7.340,6.734,7.457,6.617,14.074
1301704,Humaitá,32.796,23.115,21.001,30.475,13.641,44.116
1301803,Ipixuna,14.759,11.331,10.868,9.452,12.747,22.199
1301852,Iranduba,32.303,20.976,19.759,28.928,11.807,40.735
1301902,Itacoatiara,72.105,44.419,42.421,58.175,28.665,86.840
1301951,Itamarati,8.406,4.238,3.802,4.474,3.566,8.040
1302009,Itapiranga,7.309,4.297,3.903,6.447,1.753,8.200
1302108,Japurá,10.285,3.804,3.485,3.319,3.970,7.289
1302207,Juruá,6.584,5.564,5.258,5.686,5.136,10.822
1302306,Jutaí,22.500,9.416,8.548,10.559,7.405,17.964
1302405,Lábrea,28.956,19.586,17.988,24.223,13.351,37.574
1302504,Manacapuru,73.695,43.429,41.715,60.178,24.966,85.144
1302553,Manaquiri,12.711,11.747,11.060,7.068,15.739,22.807
1302603,Manaus,1.405.835,879.893,922.632,1.793.416,9.109,1.802.525
1302702,Manicoré,38.038,24.681,22.330,20.347,26.664,47.011
1302801,Maraã,17.079,9.339,8.025,8.759,8.605,17.364
1302900,Maués,40.036,27.084,24.763,25.836,26.011,51.847
1303007,Nhamundá,15.355,9.496,8.782,7.010,11.268,18.278
1303106,Nova Olinda do Norte,23.725,15.782,14.979,13.648,17.113,30.761
1303205,Novo Airão,9.651,7.655,7.125,9.490,5.290,14.780
1303304,Novo Aripuanã,17.119,11.405,9.984,14.079,7.310,21.389
1303403,Parintins,90.150,52.318,49.748,69.905,32.161,102.066
1303502,Pauini,17.092,9.485,8.668,9.264,8.889,18.153
1303536,Presidente Figueiredo,17.394,14.321,12.800,12.999,14.122,27.121
1303569,Rio Preto da Eva,17.582,13.416,12.342,12.244,13.514,25.758
1303601,Santa Isabel do Rio Negro,10.561,9.315,8.818,6.858,11.275,18.133
1303700,Santo Antônio do Içá,28.213,12.591,11.896,12.954,11.533,24.487
1303809,São Gabriel da Cachoeira,29.947,19.144,18.156,19.001,18.299,37.300
1303908,São Paulo de Olivença,23.113,16.268,15.158,14.267,17.159,31.426
1303957,São Sebastião do Uatumã,7.160,5.670,5.018,5.907,4.781,10.688
1304005,Silves,7.785,4.500,3.945,4.033,4.412,8.445
1304062,Tabatinga,37.919,26.347,25.932,36.371,15.908,52.279
1304104,Tapauá,20.595,10.075,9.002,10.618,8.459,19.077
1304203,Tefé,64.457,31.492,29.907,50.072,11.327,61.399
1304237,Tonantins,15.512,8.767,8.289,8.903,8.153,17.056
1304260,Uarini,10.254,6.319,5.587,6.799,5.107,11.906
1304302,Urucará,18.372,8.829,8.190,9.868,7.151,17.019
1304401,Urucurituba,12.264,9.467,8.264,10.355,7.376,17.731
Total,Amazonas,2.812.557,1.751.328,1.729.609,2.755.756,725.181,3.480.937
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
