Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2900108,Abaíra,9.067,4.088,4.236,3.744,4.580,8.324
2900207,Abaré,13.648,8.566,8.506,9.035,8.037,17.072
2900306,Acajutiba,14.322,7.300,7.530,12.786,2.044,14.830
2900355,Adustina,14.302,7.908,7.798,5.574,10.132,15.706
2900405,Água Fria,14.718,7.903,7.823,5.777,9.949,15.726
2900603,Aiquara,5.315,2.351,2.251,2.680,1.922,4.602
2900702,Alagoinhas,130.095,67.381,74.779,124.245,17.915,142.160
2900801,Alcobaça,20.900,10.842,10.477,11.112,10.207,21.319
2900900,Almadina,7.862,3.202,3.158,5.080,1.280,6.360
2901007,Amargosa,31.108,16.634,17.706,24.895,9.445,34.340
2901106,Amélia Rodrigues,24.134,12.283,12.907,19.957,5.233,25.190
2901155,América Dourada,15.959,8.071,7.881,10.845,5.107,15.952
2901205,Anagé,31.060,12.878,12.622,4.927,20.573,25.500
2901304,Andaraí,13.884,7.170,6.778,7.770,6.178,13.948
2901353,Andorinha,15.774,7.331,7.086,6.213,8.204,14.417
2901403,Angical,14.701,7.460,6.613,6.531,7.542,14.073
2901502,Anguera,8.834,5.086,5.162,4.326,5.922,10.248
2901601,Antas,14.059,8.587,8.491,6.359,10.719,17.078
2901700,Antônio Cardoso,11.620,5.729,5.819,3.225,8.323,11.548
2901809,Antônio Gonçalves,9.716,5.576,5.443,5.783,5.236,11.019
2901908,Aporá,16.769,8.951,8.769,8.487,9.233,17.720
2901957,Apuarema,7.443,3.796,3.667,5.121,2.342,7.463
2902054,Araças,11.003,5.832,5.737,5.808,5.761,11.569
2902005,Aracatu,15.491,7.045,6.687,3.928,9.804,13.732
2902104,Araci,47.584,25.929,25.707,19.637,31.999,51.636
2902203,Aramari,9.258,5.001,5.038,5.125,4.914,10.039
2902252,Arataca,11.218,5.502,4.901,5.604,4.799,10.403
2902302,Aratuípe,8.381,4.373,4.217,5.508,3.082,8.590
2902401,Aurelino Leal,17.149,6.836,6.763,11.430,2.169,13.599
2902500,Baianópolis,12.179,7.167,6.696,3.495,10.368,13.863
2902609,Baixa Grande,20.441,9.969,10.100,8.333,11.736,20.069
2902658,Banzaê,11.156,5.992,5.819,4.039,7.772,11.811
2902708,Barra,44.203,25.172,24.170,22.461,26.881,49.342
2902807,Barra da Estiva,24.440,10.655,10.535,10.406,10.784,21.190
2902906,Barra do Choça,40.818,17.553,17.235,22.407,12.381,34.788
2903003,Barra do Mendes,13.610,7.016,6.981,6.255,7.742,13.997
2903102,Barra do Rocha,8.074,3.350,2.986,3.814,2.522,6.336
2903201,Barreiras,131.849,67.892,69.536,123.734,13.694,137.428
2903235,Barro Alto,12.098,6.917,6.709,6.726,6.900,13.626
2903300,Barro Preto,8.602,3.306,3.147,5.295,1.158,6.453
2903276,Barrocas,0,7.214,6.975,5.693,8.496,14.189
2903409,Belmonte,20.032,11.174,10.664,11.426,10.412,21.838
2903508,Belo Campo,17.655,8.125,7.901,9.036,6.990,16.026
2903607,Biritinga,14.641,7.558,7.275,3.517,11.316,14.833
2903706,Boa Nova,20.544,7.821,7.588,5.808,9.601,15.409
2903805,Boa Vista do Tupim,18.408,9.142,8.858,6.593,11.407,18.000
