Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
3200102,Afonso Cláudio,32.232,15.684,15.402,15.861,15.225,31.086
3200169,Água Doce do Norte,12.751,5.956,5.815,6.699,5.072,11.771
3200136,Águia Branca,9.599,4.900,4.617,3.051,6.466,9.517
3200201,Alegre,31.714,15.288,15.496,21.521,9.263,30.784
3200300,Alfredo Chaves,13.616,7.107,6.853,6.557,7.403,13.960
3200359,Alto Rio Novo,6.964,3.658,3.645,4.239,3.064,7.303
3200409,Anchieta,19.176,12.057,11.837,18.153,5.741,23.894
3200508,Apiacá,7.615,3.779,3.734,5.212,2.301,7.513
3200607,Aracruz,64.637,40.768,40.978,71.407,10.339,81.746
3200706,Atilio Vivacqua,8.327,4.990,4.850,6.114,3.726,9.840
3200805,Baixo Guandu,27.819,14.220,14.866,22.519,6.567,29.086
3200904,Barra de São Francisco,37.597,20.373,20.237,26.340,14.270,40.610
3201001,Boa Esperança,13.679,7.180,7.019,10.239,3.960,14.199
3201100,Bom Jesus do Norte,9.226,4.582,4.897,8.702,777,9.479
3201159,Brejetuba,11.687,6.217,5.704,3.417,8.504,11.921
3201209,Cachoeiro de Itapemirim,174.879,92.751,97.127,173.572,16.306,189.878
3201308,Cariacica,324.285,169.982,178.951,337.822,11.111,348.933
3201407,Castelo,32.756,17.429,17.397,21.879,12.947,34.826
3201506,Colatina,112.711,54.303,57.491,98.395,13.399,111.794
3201605,Conceição da Barra,26.494,14.178,14.299,22.591,5.886,28.477
3201704,Conceição do Castelo,10.910,5.941,5.745,5.902,5.784,11.686
3201803,Divino de São Lourenço,4.817,2.351,2.164,1.742,2.773,4.515
3201902,Domingos Martins,30.559,16.068,15.756,7.741,24.083,31.824
3202009,Dores do Rio Preto,6.188,3.222,3.177,3.542,2.857,6.399
3202108,Ecoporanga,23.979,11.566,11.657,14.776,8.447,23.223
3202207,Fundão,13.009,8.493,8.535,14.382,2.646,17.028
3202256,Governador Lindenberg,0,5.673,5.201,4.234,6.640,10.874
3202306,Guaçuí,25.492,13.686,14.167,22.403,5.450,27.853
3202405,Guarapari,88.400,51.424,53.803,100.268,4.959,105.227
3202454,Ibatiba,19.210,11.293,11.053,13.358,8.988,22.346
3202504,Ibiraçu,10.143,5.518,5.640,8.451,2.707,11.158
3202553,Ibitirama,9.211,4.657,4.307,3.179,5.785,8.964
3202603,Iconha,11.481,6.410,6.104,7.273,5.241,12.514
3202652,Irupi,10.354,6.032,5.697,4.440,7.289,11.729
3202702,Itaguaçu,14.495,7.197,6.937,8.054,6.080,14.134
3202801,Itapemirim,28.121,15.537,15.451,19.325,11.663,30.988
3202900,Itarana,11.425,5.455,5.426,4.095,6.786,10.881
3203007,Iúna,26.112,13.649,13.691,15.640,11.700,27.340
3203056,Jaguaré,19.539,12.486,12.232,15.056,9.662,24.718
3203106,Jerônimo Monteiro,10.189,5.298,5.590,8.540,2.348,10.888
3203130,João Neiva,15.301,7.805,8.003,12.755,3.053,15.808
3203163,Laranja da Terra,10.934,5.523,5.302,3.527,7.298,10.825
3203205,Linhares,112.617,70.366,70.888,121.503,19.751,141.254
3203304,Mantenópolis,12.201,6.816,6.784,8.653,4.947,13.600
