Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
5200050,Abadia de Goiás,4.971,3.376,3.492,5.072,1.796,6.868
5200100,Abadiânia,11.452,8.088,7.664,10.773,4.979,15.752
5200134,Acreúna,18.301,10.380,9.903,17.700,2.583,20.283
5200159,Adelândia,2.460,1.277,1.206,2.204,279,2.483
5200175,Água Fria de Goiás,4.469,2.738,2.357,2.137,2.958,5.095
5200209,Água Limpa,2.200,1.048,964,1.425,587,2.012
5200258,Águas Lindas de Goiás,105.746,79.813,79.692,159.265,240,159.505
5200308,Alexânia,20.047,12.012,11.816,19.701,4.127,23.828
5200506,Aloândia,2.128,1.045,999,1.764,280,2.044
5200555,Alto Horizonte,2.564,2.351,2.154,3.863,642,4.505
5200605,Alto Paraíso de Goiás,6.182,3.400,3.464,5.202,1.662,6.864
5200803,Alvorada do Norte,7.560,4.113,3.980,6.882,1.211,8.093
5200829,Amaralina,3.074,1.828,1.596,1.093,2.331,3.424
5200852,Americano do Brasil,4.933,2.858,2.650,4.718,790,5.508
5200902,Amorinópolis,4.145,1.829,1.778,2.169,1.438,3.607
5201108,Anápolis,288.085,163.467,171.565,329.170,5.862,335.032
5201207,Anhanguera,895,514,503,955,62,1.017
5201306,Anicuns,18.754,10.429,9.843,17.332,2.940,20.272
5201405,Aparecida de Goiânia,336.392,224.841,230.894,455.264,471,455.735
5201454,Aparecida do Rio Doce,2.402,1.243,1.190,1.954,479,2.433
5201504,Aporé,3.427,2.010,1.801,2.546,1.265,3.811
5201603,Araçu,4.127,1.902,1.883,3.340,445,3.785
5201702,Aragarças,16.592,9.193,9.117,17.625,685,18.310
5201801,Aragoiânia,6.424,4.275,4.100,5.529,2.846,8.375
5202155,Araguapaz,7.310,3.860,3.653,5.204,2.309,7.513
5202353,Arenópolis,3.999,1.676,1.602,1.919,1.359,3.278
5202502,Aruanã,5.095,3.925,3.581,6.182,1.324,7.506
5202601,Aurilândia,4.235,1.839,1.811,2.800,850,3.650
