Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
5100102,Acorizal,5.817,2.900,2.616,2.927,2.589,5.516
5100201,Água Boa,16.737,10.915,9.929,16.725,4.119,20.844
5100250,Alta Floresta,46.982,25.022,24.211,42.787,6.446,49.233
5100300,Alto Araguaia,11.410,8.069,7.601,13.856,1.814,15.670
5100359,Alto Boa Vista,6.206,2.731,2.518,3.180,2.069,5.249
5100409,Alto Garças,8.335,5.402,4.919,9.425,896,10.321
5100508,Alto Paraguai,8.605,5.302,4.649,6.411,3.540,9.951
5100607,Alto Taquari,4.476,4.284,3.816,7.346,754,8.100
5100805,Apiacás,6.665,4.633,3.905,6.357,2.181,8.538
5101001,Araguaiana,3.426,1.648,1.573,2.190,1.031,3.221
5101209,Araguainha,1.352,585,510,944,151,1.095
5101258,Araputanga,13.675,7.610,7.777,12.206,3.181,15.387
5101308,Arenápolis,11.605,5.218,5.137,9.784,571,10.355
5101407,Aripuanã,27.560,10.032,8.549,11.674,6.907,18.581
5101605,Barão de Melgaço,7.682,4.134,3.457,3.422,4.169,7.591
5101704,Barra do Bugres,27.460,16.134,14.924,25.912,5.146,31.058
5101803,Barra do Garças,52.092,28.123,28.300,50.930,5.493,56.423
5101852,Bom Jesus do Araguaia,0,2.806,2.425,2.632,2.599,5.231
5101902,Brasnorte,9.815,8.244,7.036,9.990,5.290,15.280
5102504,Cáceres,85.857,44.040,43.872,76.558,11.354,87.912
5102603,Campinápolis,12.419,7.365,6.857,4.816,9.406,14.222
5102637,Campo Novo do Parecis,17.638,14.483,13.091,25.581,1.993,27.574
5102678,Campo Verde,17.221,16.293,15.319,25.512,6.100,31.612
5102686,Campos de Júlio,2.895,2.589,2.430,3.991,1.028,5.019
5102694,Canabrava do Norte,4.989,2.542,2.225,2.673,2.094,4.767
5102702,Canarana,15.408,9.636,9.065,14.813,3.888,18.701
5102793,Carlinda,12.296,5.818,5.167,4.569,6.416,10.985
5102850,Castanheira,7.790,4.346,3.885,3.921,4.310,8.231
5103007,Chapada dos Guimarães,15.755,9.293,8.506,10.988,6.811,17.799
5103056,Cláudia,10.249,5.692,5.280,8.457,2.515,10.972
5103106,Cocalinho,5.504,2.901,2.597,3.647,1.851,5.498
5103205,Colíder,28.051,15.624,15.240,25.065,5.799,30.864
5103254,Colniza,0,14.085,12.305,15.011,11.379,26.390
5103304,Comodoro,15.046,9.365,8.792,12.568,5.589,18.157
5103353,Confresa,17.841,13.345,11.782,16.224,8.903,25.127
5103361,Conquista D'Oeste,0,1.789,1.599,2.053,1.335,3.388
5103379,Cotriguaçu,8.474,7.979,7.008,5.132,9.855,14.987
5103403,Cuiabá,483.346,269.397,281.953,541.002,10.348,551.350
5103437,Curvelândia,0,2.550,2.348,2.914,1.984,4.898
5103452,Denise,7.463,4.382,4.112,7.259,1.235,8.494
5103502,Diamantino,18.580,10.549,9.871,15.920,4.500,20.420
5103601,Dom Aquino,8.418,4.194,3.937,6.542,1.589,8.131
5103700,Feliz Natal,6.769,5.580,5.353,8.123,2.810,10.933
5103809,Figueirópolis D'Oeste,4.315,1.943,1.862,2.014,1.791,3.805
5103858,Gaúcha do Norte,4.605,3.435,2.852,2.199,4.088,6.287
5103908,General Carneiro,4.349,2.638,2.380,2.356,2.662,5.018
5103957,Glória D'Oeste,3.361,1.581,1.544,2.129,996,3.125
5104104,Guarantã do Norte,28.200,16.479,15.671,23.917,8.233,32.150
5104203,Guiratinga,12.645,7.237,6.630,11.434,2.433,13.867
5104500,Indiavaí,2.056,1.248,1.159,1.778,629,2.407
5104526,Ipiranga do Norte,0,2.795,2.328,3.475,1.648,5.123
5104542,Itanhangá,0,2.869,2.391,3.165,2.095,5.260
5104559,Itaúba,8.565,2.394,2.176,3.710,860,4.570
5104609,Itiquira,9.200,6.234,5.259,4.447,7.046,11.493
5104807,Jaciara,23.796,12.993,12.673,23.642,2.024,25.666
