Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
5000203,Água Clara,11.015,7.552,6.877,9.598,4.831,14.429
5000252,Alcinópolis,3.679,2.433,2.137,3.138,1.432,4.570
5000609,Amambai,29.484,17.379,17.360,22.383,12.356,34.739
5000708,Anastácio,22.477,11.915,11.931,19.681,4.165,23.846
5000807,Anaurilândia,7.955,4.308,4.186,4.322,4.172,8.494
5000856,Angélica,7.356,4.707,4.463,7.680,1.490,9.170
5000906,Antônio João,7.408,4.111,4.104,6.836,1.379,8.215
5001003,Aparecida do Taboado,18.402,11.152,11.153,20.094,2.211,22.305
5001102,Aquidauana,43.440,22.855,22.768,35.954,9.669,45.623
5001243,Aral Moreira,8.055,5.269,4.986,5.361,4.894,10.255
5001508,Bandeirantes,6.425,3.455,3.143,4.520,2.078,6.598
5001904,Bataguassu,16.197,10.089,9.736,15.234,4.591,19.825
5002001,Batayporã,10.625,5.405,5.533,8.331,2.607,10.938
5002100,Bela Vista,21.764,11.720,11.455,18.924,4.251,23.175
5002159,Bodoquena,8.367,4.112,3.874,5.778,2.208,7.986
5002209,Bonito,16.956,9.890,9.708,16.161,3.437,19.598
5002308,Brasilândia,11.956,6.040,5.764,8.005,3.799,11.804
5002407,Caarapó,20.706,12.913,12.850,18.305,7.458,25.763
5002605,Camapuã,16.446,7.071,6.577,9.822,3.826,13.648
5002704,Campo Grande,663.621,381.544,405.660,776.654,10.550,787.204
5002803,Caracol,4.592,2.766,2.634,3.240,2.160,5.400
5002902,Cassilândia,20.087,10.434,10.498,18.970,1.962,20.932
5002951,Chapadão do Sul,11.658,10.291,9.363,16.805,2.849,19.654
5003108,Corguinho,3.592,2.629,2.233,1.872,2.990,4.862
5003157,Coronel Sapucaia,12.810,6.954,7.110,10.208,3.856,14.064
5003207,Corumbá,95.701,52.304,51.468,93.510,10.262,103.772
5003256,Costa Rica,15.488,10.239,9.450,16.840,2.849,19.689
5003306,Coxim,30.866,16.150,16.030,29.160,3.020,32.180
5003454,Deodápolis,11.350,6.126,6.005,10.042,2.089,12.131
5003488,Dois Irmãos do Buriti,9.335,5.531,4.831,4.706,5.656,10.362
5003504,Douradina,4.732,2.722,2.643,3.286,2.079,5.365
5003702,Dourados,164.949,96.342,99.726,181.086,14.982,196.068
5003751,Eldorado,11.059,5.789,5.891,9.333,2.347,11.680
5003801,Fátima do Sul,19.111,9.360,9.664,16.956,2.068,19.024
5003900,Figueirão,0,1.550,1.377,1.530,1.397,2.927
5004007,Glória de Dourados,10.035,4.895,5.033,7.671,2.257,9.928
5004106,Guia Lopes da Laguna,11.115,5.209,5.159,8.787,1.581,10.368
5004304,Iguatemi,13.617,7.430,7.457,11.020,3.867,14.887
5004403,Inocência,7.872,3.975,3.711,4.888,2.798,7.686
5004502,Itaporã,17.045,10.411,10.468,13.302,7.577,20.879
5004601,Itaquiraí,15.770,9.706,8.912,7.603,11.015,18.618
5004700,Ivinhema,21.643,11.272,11.083,17.284,5.071,22.355
5004809,Japorã,6.140,3.869,3.776,1.410,6.235,7.645
5004908,Jaraguari,5.389,3.405,2.936,1.786,4.555,6.341
5005004,Jardim,22.542,12.134,12.229,22.758,1.605,24.363
5005103,Jateí,4.054,2.094,1.923,1.871,2.146,4.017
5005152,Juti,4.981,3.010,2.890,3.925,1.975,5.900
5005202,Ladário,15.313,9.852,9.801,18.601,1.052,19.653
5005251,Laguna Carapã,5.531,3.295,3.198,2.739,3.754,6.493
5005400,Maracaju,26.219,19.389,18.018,32.225,5.182,37.407
5005608,Miranda,23.007,13.230,12.385,15.586,10.029,25.615
5005681,Mundo Novo,15.669,8.261,8.774,15.273,1.762,17.035
5005707,Naviraí,36.662,23.203,23.152,42.782,3.573,46.355
5005806,Nioaque,15.086,7.547,6.849,7.059,7.337,14.396
5006002,Nova Alvorada do Sul,9.956,8.480,7.953,12.297,4.136,16.433
5006200,Nova Andradina,35.381,22.748,22.851,38.793,6.806,45.599
5006259,Novo Horizonte do Sul,6.415,2.518,2.426,2.667,2.277,4.944
5006309,Paranaíba,38.406,19.965,20.209,35.731,4.443,40.174
5006358,Paranhos,10.215,6.263,6.092,6.263,6.092,12.355
5006408,Pedro Gomes,8.535,4.149,3.818,6.148,1.819,7.967
5006606,Ponta Porã,60.916,38.480,39.386,62.054,15.812,77.866
5006903,Porto Murtinho,13.316,8.232,7.137,10.059,5.310,15.369
5007109,Ribas do Rio Pardo,16.721,10.989,9.978,12.973,7.994,20.967
5007208,Rio Brilhante,22.640,15.699,14.948,24.540,6.107,30.647
5007307,Rio Negro,5.432,2.606,2.434,3.669,1.371,5.040
5007406,Rio Verde de Mato Grosso,18.138,9.486,9.406,16.296,2.596,18.892
5007505,Rochedo,4.358,2.570,2.352,2.884,2.038,4.922
5007554,Santa Rita do Pardo,6.640,3.805,3.449,3.534,3.720,7.254
5007695,São Gabriel do Oeste,16.821,11.173,10.991,19.274,2.890,22.164
5007802,Selvíria,6.085,3.209,3.068,4.771,1.506,6.277
5007703,Sete Quedas,10.936,5.484,5.296,8.974,1.806,10.780
5007901,Sidrolândia,23.483,21.508,20.568,27.723,14.353,42.076
5007935,Sonora,9.543,7.865,7.002,13.434,1.433,14.867
5007950,Tacuru,8.717,5.274,4.941,3.767,6.448,10.215
5007976,Taquarussu,3.493,1.805,1.707,2.448,1.064,3.512
5008008,Terenos,11.662,9.146,8.016,7.284,9.878,17.162
5008305,Três Lagoas,79.059,50.468,51.254,96.995,4.727,101.722
5008404,Vicentina,5.779,2.959,2.942,4.243,1.658,5.901
Total,Mato Grosso do Sul,2.078.001,1.220.175,1.229.166,2.097.716,351.625,2.449.341
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
