Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1500107,Abaetetuba,119.152,71.612,69.442,82.950,58.104,141.054
1500131,Abel Figueiredo,5.957,3.542,3.250,6.046,746,6.792
1500206,Acará,52.126,28.139,25.466,12.625,40.980,53.605
1500305,Afuá,29.505,18.449,16.568,9.478,25.539,35.017
1500347,Água Azul do Norte,22.084,13.618,11.443,4.876,20.185,25.061
1500404,Alenquer,41.784,27.086,25.628,27.774,24.940,52.714
1500503,Almeirim,33.957,17.502,16.163,19.972,13.693,33.665
1500602,Altamira,77.439,52.814,52.216,90.068,14.962,105.030
1500701,Anajás,18.322,12.968,11.803,9.492,15.279,24.771
1500800,Ananindeua,393.569,226.537,245.207,470.590,1.154,471.744
1500859,Anapu,9.407,10.965,9.528,9.840,10.653,20.493
1500909,Augusto Corrêa,33.011,20.994,19.505,18.237,22.262,40.499
1500958,Aurora do Pará,19.728,13.630,12.949,8.174,18.405,26.579
1501006,Aveiro,15.518,8.319,7.448,3.182,12.585,15.767
1501105,Bagre,13.708,12.136,11.719,10.652,13.203,23.855
1501204,Baião,21.119,19.450,17.457,18.555,18.352,36.907
1501253,Bannach,3.780,1.849,1.585,1.284,2.150,3.434
1501303,Barcarena,63.268,50.379,49.421,36.357,63.443,99.800
1501402,Belém,1.280.614,658.188,733.843,1.380.836,11.195,1.392.031
1501451,Belterra,14.594,8.483,7.841,6.853,9.471,16.324
1501501,Benevides,35.546,25.824,25.839,28.907,22.756,51.663
1501576,Bom Jesus do Tocantins,13.106,8.028,7.218,8.160,7.086,15.246
1501600,Bonito,9.814,7.114,6.516,3.827,9.803,13.630
1501709,Bragança,93.779,57.244,55.921,72.595,40.570,113.165
1501725,Brasil Novo,17.193,9.627,8.333,6.912,11.048,17.960
1501758,Brejo Grande do Araguaia,7.464,3.836,3.488,4.320,3.004,7.324
1501782,Breu Branco,32.446,27.090,25.407,29.303,23.194,52.497
1501808,Breves,80.158,47.780,45.085,46.561,46.304,92.865
1501907,Bujaru,21.032,13.338,12.362,8.099,17.601,25.700
1502004,Cachoeira do Arari,15.783,10.552,9.908,7.365,13.095,20.460
1501956,Cachoeira do Piriá,15.437,13.710,12.766,5.523,20.953,26.476
