Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2400109,Acari,11.189,5.364,5.671,8.902,2.133,11.035
2400208,Açu,47.904,26.158,27.087,39.369,13.876,53.245
2400307,Afonso Bezerra,10.867,5.464,5.415,5.760,5.119,10.879
2400406,Água Nova,2.678,1.480,1.504,1.908,1.076,2.984
2400505,Alexandria,13.772,6.602,6.873,9.188,4.287,13.475
2400604,Almino Afonso,5.195,2.499,2.381,3.488,1.392,4.880
2400703,Alto do Rodrigues,9.499,6.163,6.143,8.875,3.431,12.306
2400802,Angicos,11.626,5.657,5.896,10.089,1.464,11.553
2400901,Antônio Martins,6.757,3.494,3.413,3.784,3.123,6.907
2401008,Apodi,34.174,17.376,17.401,17.545,17.232,34.777
2401107,Areia Branca,22.530,12.311,12.952,20.258,5.005,25.263
2401206,Arês,11.323,6.405,6.526,8.080,4.851,12.931
2401305,Augusto Severo,9.024,4.708,4.581,5.002,4.287,9.289
2401404,Baía Formosa,7.821,4.335,4.234,7.128,1.441,8.569
2401453,Baraúna,18.922,12.272,11.915,15.215,8.972,24.187
2401503,Barcelona,3.990,2.028,1.929,1.756,2.201,3.957
2401602,Bento Fernandes,4.709,2.629,2.481,2.066,3.044,5.110
2401651,Bodó,2.775,1.260,1.165,1.393,1.032,2.425
2401701,Bom Jesus,8.608,4.691,4.741,6.766,2.666,9.432
2401800,Brejinho,10.317,5.798,5.779,9.167,2.410,11.577
2401859,Caiçara do Norte,5.842,3.119,2.897,5.894,122,6.016
2401909,Caiçara do Rio do Vento,2.867,1.641,1.663,2.522,782,3.304
2402006,Caicó,57.002,30.371,32.356,57.464,5.263,62.727
2402105,Campo Redondo,9.201,5.104,5.162,5.197,5.069,10.266
2402204,Canguaretama,27.011,15.461,15.439,20.210,10.690,30.900
2402303,Caraúbas,18.810,9.571,10.011,13.709,5.873,19.582
2402402,Carnaúba dos Dantas,6.572,3.716,3.713,6.028,1.401,7.429
2402501,Carnaubais,8.192,4.900,4.875,4.761,5.014,9.775
2402600,Ceará-Mirim,62.424,33.570,34.274,35.474,32.370,67.844
2402709,Cerro Corá,10.839,5.458,5.458,4.740,6.176,10.916
2402808,Coronel Ezequiel,5.409,2.747,2.658,2.273,3.132,5.405
2402907,Coronel João Pessoa,4.703,2.370,2.404,1.779,2.995,4.774
