Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
4300034,Aceguá,0,2.303,2.091,1.059,3.335,4.394
4300059,Água Santa,4.127,1.880,1.846,1.447,2.279,3.726
4300109,Agudo,17.455,8.353,8.376,6.894,9.835,16.729
4300208,Ajuricaba,7.709,3.585,3.670,4.108,3.147,7.255
4300307,Alecrim,8.487,3.512,3.533,2.165,4.880,7.045
4300406,Alegrete,84.338,38.055,39.618,69.611,8.062,77.673
4300455,Alegria,5.367,2.149,2.152,1.585,2.716,4.301
4300471,Almirante Tamandaré do Sul,0,1.038,1.024,834,1.228,2.062
4300505,Alpestre,10.266,4.129,3.898,2.211,5.816,8.027
4300554,Alto Alegre,2.137,943,905,743,1.105,1.848
4300570,Alto Feliz,2.834,1.503,1.405,813,2.095,2.908
4300604,Alvorada,183.968,95.105,100.613,195.718,0,195.718
4300638,Amaral Ferrador,5.740,3.282,3.073,1.866,4.489,6.355
4300646,Ametista do Sul,7.414,3.732,3.591,3.811,3.512,7.323
4300661,André da Rocha,1.113,620,596,496,720,1.216
4300703,Anta Gorda,6.327,3.027,3.046,2.331,3.742,6.073
4300802,Antônio Prado,12.918,6.407,6.430,9.235,3.602,12.837
4300851,Arambaré,3.917,1.854,1.839,2.913,780,3.693
4300877,Araricá,4.032,2.458,2.410,4.000,868,4.868
4300901,Aratiba,7.116,3.341,3.227,3.316,3.252,6.568
4301008,Arroio do Meio,16.951,9.353,9.430,14.663,4.120,18.783
4301073,Arroio do Padre,0,1.415,1.315,454,2.276,2.730
4301057,Arroio do Sal,5.273,3.832,3.912,7.513,231,7.744
4301206,Arroio do Tigre,12.216,6.384,6.264,5.962,6.686,12.648
4301107,Arroio dos Ratos,13.335,6.636,6.972,12.958,650,13.608
4301305,Arroio Grande,19.152,9.175,9.294,16.086,2.383,18.469
4301404,Arvorezinha,10.262,5.138,5.091,6.277,3.952,10.229
4301503,Augusto Pestana,8.173,3.487,3.610,3.657,3.440,7.097
4301552,Áurea,3.889,1.807,1.858,1.537,2.128,3.665
4301602,Bagé,118.767,55.794,60.998,97.762,19.030,116.792
4301636,Balneário Pinhal,7.452,5.346,5.509,10.742,113,10.855
4301651,Barão,5.397,2.910,2.832,2.967,2.775,5.742
4301701,Barão de Cotegipe,6.927,3.296,3.233,3.966,2.563,6.529
4301750,Barão do Triunfo,6.662,3.740,3.278,697,6.321,7.018
4301859,Barra do Guarita,2.987,1.550,1.539,1.371,1.718,3.089
4301875,Barra do Quaraí,3.884,2.130,1.886,2.840,1.176,4.016
4301909,Barra do Ribeiro,11.845,6.252,6.316,9.291,3.277,12.568
4301925,Barra do Rio Azul,2.414,1.049,954,403,1.600,2.003
4301958,Barra Funda,2.231,1.177,1.190,1.522,845,2.367
4301800,Barracão,5.592,2.691,2.664,3.035,2.320,5.355
4302006,Barros Cassal,11.347,5.729,5.404,3.531,7.602,11.133
4302055,Benjamin Constant do Sul,2.727,1.195,1.112,341,1.966,2.307
4302105,Bento Gonçalves,91.486,52.713,54.628,99.121,8.220,107.341
4302154,Boa Vista das Missões,2.188,1.056,1.058,886,1.228,2.114
4302204,Boa Vista do Buricá,6.587,3.294,3.282,4.368,2.208,6.576
