Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1100015,Alta Floresta D'Oeste,26.533,12.670,11.752,13.992,10.430,24.422
1100379,Alto Alegre dos Parecis,12.708,6.746,6.080,3.665,9.161,12.826
1100403,Alto Paraíso,13.118,9.025,8.119,8.216,8.928,17.144
1100346,Alvorada D'Oeste,19.832,8.677,8.187,8.837,8.027,16.864
1100023,Ariquemes,74.503,45.538,44.816,69.606,20.748,90.354
1100452,Buritis,25.668,16.746,15.639,18.113,14.272,32.385
1100031,Cabixi,7.518,3.262,3.047,2.693,3.616,6.309
1100601,Cacaulândia,5.372,2.960,2.767,2.068,3.659,5.727
1100049,Cacoal,73.568,39.155,39.446,61.931,16.670,78.601
1100700,Campo Novo de Rondônia,11.463,6.770,5.899,3.371,9.298,12.669
1100809,Candeias do Jamari,13.107,10.327,9.455,12.898,6.884,19.782
1100908,Castanheiras,4.212,1.831,1.750,842,2.739,3.581
1100056,Cerejeiras,18.207,8.552,8.478,14.420,2.610,17.030
1100924,Chupinguaia,5.521,4.409,3.895,3.670,4.634,8.304
1100064,Colorado do Oeste,21.892,9.333,9.269,13.666,4.936,18.602
1100072,Corumbiara,10.459,4.722,4.080,2.590,6.212,8.802
1100080,Costa Marques,10.208,7.209,6.491,7.504,6.196,13.700
1100940,Cujubim,6.536,8.476,7.397,11.065,4.808,15.873
1100098,Espigão D'Oeste,25.688,14.633,14.108,20.629,8.112,28.741
1101005,Governador Jorge Teixeira,13.641,5.471,5.042,2.361,8.152,10.513
1100106,Guajará-Mirim,38.045,20.940,20.706,35.197,6.449,41.646
1101104,Itapuã do Oeste,6.822,4.563,3.998,5.220,3.341,8.561
1100114,Jaru,53.600,26.037,26.006,35.141,16.902,52.043
1100122,Ji-Paraná,106.800,57.834,58.753,104.841,11.746,116.587
1100130,Machadinho D'Oeste,22.739,16.519,14.588,16.176,14.931,31.107
1101203,Ministro Andreazza,11.342,5.306,5.048,3.074,7.280,10.354
1101302,Mirante da Serra,13.154,6.057,5.812,6.432,5.437,11.869
1101401,Monte Negro,12.627,7.407,6.683,7.387,6.703,14.090
1100148,Nova Brasilândia D'Oeste,17.067,10.328,9.517,8.370,11.475,19.845
1100338,Nova Mamoré,14.778,11.738,10.814,13.069,9.483,22.552
1101435,Nova União,8.233,4.003,3.495,1.540,5.958,7.498
1100502,Novo Horizonte do Oeste,12.276,5.333,4.904,1.732,8.505,10.237
1100155,Ouro Preto do Oeste,40.884,18.709,19.232,28.208,9.733,37.941
1101450,Parecis,3.622,2.596,2.214,1.774,3.036,4.810
1100189,Pimenta Bueno,31.752,17.010,16.744,29.358,4.396,33.754
1101468,Pimenteiras do Oeste,2.527,1.223,1.099,1.297,1.025,2.322
1100205,Porto Velho,334.661,215.561,210.997,391.014,35.544,426.558
1100254,Presidente Médici,26.365,11.316,11.003,13.296,9.023,22.319
1101476,Primavera de Rondônia,4.311,1.856,1.667,1.282,2.241,3.523
1100262,Rio Crespo,2.937,1.767,1.549,1.064,2.252,3.316
1100288,Rolim de Moura,47.382,25.178,25.494,41.454,9.218,50.672
1100296,Santa Luzia D'Oeste,11.603,4.596,4.290,4.525,4.361,8.886
1101484,São Felipe D'Oeste,7.056,3.086,2.932,1.444,4.574,6.018
1101492,São Francisco do Guaporé,11.085,8.410,7.609,8.227,7.792,16.019
1100320,São Miguel do Guaporé,23.874,11.327,10.497,8.471,13.353,21.824
1101500,Seringueiras,11.655,6.090,5.559,4.407,7.242,11.649
1101559,Teixeirópolis,5.618,2.544,2.349,1.718,3.175,4.893
1101609,Theobroma,11.140,5.649,4.995,1.980,8.664,10.644
1101708,Urupá,14.880,6.729,6.240,5.141,7.828,12.969
1101757,Vale do Anari,7.737,4.972,4.389,3.184,6.177,9.361
1101807,Vale do Paraíso,9.863,4.249,3.969,2.276,5.942,8.218
1100304,Vilhena,53.598,37.779,38.408,72.212,3.975,76.187
Total,Rondônia,1.379.787,793.224,767.277,1.142.648,417.853,1.560.501
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
