Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1400050,Alto Alegre,17.907,8.592,7.694,4.780,11.506,16.286
1400027,Amajari,5.294,4.995,4.335,1.219,8.111,9.330
1400100,Boa Vista,200.568,140.808,143.450,277.754,6.504,284.258
1400159,Bonfim,9.326,5.883,5.068,3.716,7.235,10.951
1400175,Cantá,8.571,7.470,6.308,2.257,11.521,13.778
1400209,Caracaraí,14.286,9.725,8.659,10.889,7.495,18.384
1400233,Caroebe,5.692,4.309,3.805,3.324,4.790,8.114
1400282,Iracema,4.781,4.593,4.083,4.078,4.598,8.676
1400308,Mucajaí,11.247,7.872,6.942,8.944,5.870,14.814
1400407,Normandia,6.138,4.670,4.256,2.311,6.615,8.926
1400456,Pacaraima,6.990,5.418,5.030,4.516,5.932,10.448
1400472,Rorainópolis,17.393,13.672,11.915,10.679,14.908,25.587
1400506,São João da Baliza,5.091,3.556,3.222,4.775,2.003,6.778
1400605,São Luiz,5.311,3.568,3.182,4.455,2.295,6.750
1400704,Uiramutã,5.802,4.212,3.935,1.083,7.064,8.147
Total,Roraima,324.397,229.343,221.884,344.780,106.447,451.227
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
