Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
4200051,Abdon Batista,2.775,1.382,1.271,724,1.929,2.653
4200101,Abelardo Luz,16.440,8.628,8.472,9.570,7.530,17.100
4200200,Agrolândia,7.810,4.703,4.625,5.964,3.364,9.328
4200309,Agronômica,4.257,2.496,2.405,1.855,3.046,4.901
4200408,Água Doce,6.843,3.551,3.409,3.436,3.524,6.960
4200507,Águas de Chapecó,5.782,3.124,2.985,3.236,2.873,6.109
4200556,Águas Frias,2.525,1.279,1.145,981,1.443,2.424
4200606,Águas Mornas,5.390,2.808,2.738,2.327,3.219,5.546
4200705,Alfredo Wagner,8.857,4.784,4.626,2.868,6.542,9.410
4200754,Alto Bela Vista,2.098,1.005,1.000,605,1.400,2.005
4200804,Anchieta,7.133,3.231,3.147,2.588,3.790,6.378
4200903,Angelina,5.776,2.765,2.485,1.123,4.127,5.250
4201000,Anita Garibaldi,10.273,4.342,4.285,4.555,4.072,8.627
4201109,Anitápolis,3.234,1.675,1.539,1.315,1.899,3.214
4201208,Antônio Carlos,6.434,3.754,3.701,2.338,5.117,7.455
4201257,Apiúna,8.520,4.880,4.725,4.295,5.310,9.605
4201273,Arabutã,4.160,2.133,2.060,1.307,2.886,4.193
4201307,Araquari,23.645,12.640,12.174,23.359,1.455,24.814
4201406,Araranguá,54.706,30.154,31.185,50.551,10.788,61.339
4201505,Armazém,6.873,3.912,3.818,4.871,2.859,7.730
4201604,Arroio Trinta,3.490,1.746,1.754,2.397,1.103,3.500
4201653,Arvoredo,2.305,1.226,1.030,497,1.759,2.256
4201703,Ascurra,6.934,3.682,3.737,6.460,959,7.419
4201802,Atalanta,3.429,1.661,1.639,1.368,1.932,3.300
4201901,Aurora,5.474,2.825,2.727,1.931,3.621,5.552
4201950,Balneário Arroio do Silva,6.043,4.745,4.845,9.395,195,9.590
4202057,Balneário Barra do Sul,6.045,4.170,4.253,8.029,394,8.423
4202008,Balneário Camboriú,73.455,51.393,56.714,108.107,0,108.107
4202073,Balneário Gaivota,5.450,4.091,4.153,6.371,1.873,8.244
4212809,Balneário Piçarras,10.911,8.521,8.553,15.502,1.572,17.074
4202081,Bandeirante,3.177,1.534,1.372,932,1.974,2.906
4202099,Barra Bonita,2.118,976,902,279,1.599,1.878
4202107,Barra Velha,15.530,11.122,11.281,21.337,1.066,22.403
4202131,Bela Vista do Toldo,5.721,3.104,2.900,847,5.157,6.004
4202156,Belmonte,2.588,1.358,1.277,1.273,1.362,2.635
4202206,Benedito Novo,9.071,5.279,5.052,5.803,4.528,10.331
4202305,Biguaçu,48.077,28.691,29.547,52.806,5.432,58.238
4202404,Blumenau,261.808,151.648,157.566,294.968,14.246,309.214
4202438,Bocaina do Sul,2.980,1.700,1.590,967,2.323,3.290
4202503,Bom Jardim da Serra,4.079,2.254,2.146,2.397,2.003,4.400
4202537,Bom Jesus,2.046,1.253,1.273,1.495,1.031,2.526
4202578,Bom Jesus do Oeste,2.150,1.078,1.054,647,1.485,2.132
4202602,Bom Retiro,7.967,4.513,4.429,6.417,2.525,8.942
4202453,Bombinhas,8.716,7.207,7.105,14.312,0,14.312
4202701,Botuverá,3.756,2.278,2.190,1.310,3.158,4.468
4202800,Braço do Norte,24.802,14.535,14.483,23.383,5.635,29.018
4202859,Braço do Trombudo,3.187,1.765,1.692,1.898,1.559,3.457
4202875,Brunópolis,3.331,1.451,1.401,707,2.145,2.852
4202909,Brusque,76.058,52.400,53.095,102.017,3.478,105.495
4203006,Caçador,63.322,35.026,35.709,64.431,6.304,70.735
4203105,Caibi,6.354,3.143,3.075,3.578,2.640,6.218
4203154,Calmon,3.467,1.752,1.628,2.109,1.271,3.380
4203204,Camboriú,41.445,31.111,31.178,59.157,3.132,62.289
4203303,Campo Alegre,11.634,5.971,5.777,7.237,4.511,11.748
4203402,Campo Belo do Sul,8.051,3.850,3.636,4.410,3.076,7.486
4203501,Campo Erê,10.353,4.686,4.684,6.252,3.118,9.370
4203600,Campos Novos,28.729,16.257,16.572,27.065,5.764,32.829
