Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1700251,Abreulândia,2.189,1.258,1.129,1.476,911,2.387
1700301,Aguiarnópolis,3.145,2.617,2.541,4.138,1.020,5.158
1700350,Aliança do Tocantins,6.177,2.899,2.764,4.756,907,5.663
1700400,Almas,8.474,3.973,3.622,6.016,1.579,7.595
1700707,Alvorada,8.508,4.256,4.124,7.771,609,8.380
1701002,Ananás,10.512,4.985,4.888,8.151,1.722,9.873
1701051,Angico,2.889,1.669,1.500,1.937,1.232,3.169
1701101,Aparecida do Rio Negro,3.517,2.168,2.045,3.313,900,4.213
1701309,Aragominas,6.180,3.138,2.744,2.230,3.652,5.882
1701903,Araguacema,5.414,3.331,2.986,2.925,3.392,6.317
1702000,Araguaçu,9.346,4.513,4.273,5.882,2.904,8.786
1702109,Araguaína,113.143,73.605,76.915,142.963,7.557,150.520
1702158,Araguanã,4.193,2.586,2.444,3.386,1.644,5.030
1702208,Araguatins,26.010,15.966,15.358,20.136,11.188,31.324
1702307,Arapoema,7.025,3.447,3.295,5.455,1.287,6.742
1702406,Arraias,10.984,5.394,5.249,7.369,3.274,10.643
1702554,Augustinópolis,12.964,8.013,7.952,13.185,2.780,15.965
1702703,Aurora do Tocantins,3.101,1.774,1.672,2.482,964,3.446
1702901,Axixá do Tocantins,8.827,4.600,4.675,7.621,1.654,9.275
1703008,Babaçulândia,10.329,5.568,4.878,4.931,5.515,10.446
1703057,Bandeirantes do Tocantins,2.608,1.696,1.428,1.685,1.439,3.124
1703073,Barra do Ouro,3.579,2.195,1.928,2.186,1.937,4.123
1703107,Barrolândia,5.082,2.758,2.588,4.474,872,5.346
1703206,Bernardo Sayão,4.551,2.332,2.135,2.190,2.277,4.467
1703305,Bom Jesus do Tocantins,2.323,1.990,1.778,2.826,942,3.768
1703602,Brasilândia do Tocantins,1.923,1.058,1.008,1.438,628,2.066
1703701,Brejinho de Nazaré,4.877,2.600,2.588,4.195,993,5.188
1703800,Buriti do Tocantins,7.842,4.939,4.831,7.454,2.316,9.770
1703826,Cachoeirinha,2.023,1.137,1.011,1.731,417,2.148
1703842,Campos Lindos,5.638,4.264,3.875,4.819,3.320,8.139
1703867,Cariri do Tocantins,2.990,2.105,1.649,2.091,1.663,3.754
1703883,Carmolândia,2.008,1.202,1.103,1.813,492,2.305
1703891,Carrasco Bonito,3.218,1.920,1.770,1.969,1.721,3.690
1703909,Caseara,3.660,2.384,2.217,2.737,1.864,4.601
1704105,Centenário,2.163,1.375,1.190,1.504,1.061,2.565
1705102,Chapada da Natividade,3.274,1.793,1.487,1.656,1.624,3.280
1704600,Chapada de Areia,1.270,716,619,749,586,1.335
1705508,Colinas do Tocantins,25.301,15.310,15.569,29.649,1.230,30.879
1716703,Colméia,9.352,4.365,4.242,6.370,2.237,8.607
1705557,Combinado,4.524,2.374,2.295,4.000,669,4.669
1705607,Conceição do Tocantins,4.377,2.132,2.050,2.911,1.271,4.182
1706001,Couto Magalhães,4.335,2.638,2.371,1.884,3.125,5.009
1706100,Cristalândia,7.318,3.700,3.518,5.924,1.294,7.218
1706258,Crixás do Tocantins,1.384,822,744,874,692,1.566
1706506,Darcinópolis,4.273,2.775,2.498,3.489,1.784,5.273
1707009,Dianópolis,15.428,9.676,9.434,16.447,2.663,19.110
1707108,Divinópolis do Tocantins,5.776,3.280,3.083,4.466,1.897,6.363
1707207,Dois Irmãos do Tocantins,7.269,3.958,3.203,2.777,4.384,7.161
1707306,Dueré,4.565,2.440,2.149,3.055,1.534,4.589
1707405,Esperantina,7.623,4.910,4.566,4.614,4.862,9.476
1707553,Fátima,3.848,1.909,1.896,3.135,670,3.805
1707652,Figueirópolis,5.562,2.705,2.635,4.054,1.286,5.340
1707702,Filadélfia,8.218,4.470,4.032,5.538,2.964,8.502
1708205,Formoso do Araguaia,18.817,9.608,8.820,13.333,5.095,18.428
1708254,Fortaleza do Tabocão,2.242,1.236,1.187,1.968,455,2.423
1708304,Goianorte,4.839,2.651,2.309,2.764,2.196,4.960
1709005,Goiatins,11.036,6.287,5.777,4.949,7.115,12.064
1709302,Guaraí,20.018,11.693,11.519,21.132,2.080,23.212
1709500,Gurupi,65.034,38.113,38.652,75.014,1.751,76.765
1709807,Ipueiras,1.166,864,775,958,681,1.639
1710508,Itacajá,6.815,3.731,3.373,4.273,2.831,7.104
1710706,Itaguatins,6.386,3.106,2.923,3.396,2.633,6.029
1710904,Itapiratins,3.277,1.917,1.617,1.916,1.618,3.534
1711100,Itaporã do Tocantins,2.522,1.278,1.161,1.562,877,2.439
1711506,Jaú do Tocantins,3.121,1.815,1.692,1.310,2.197,3.507
1711803,Juarina,2.333,1.175,1.056,1.033,1.198,2.231
1711902,Lagoa da Confusão,6.168,5.526,4.689,6.337,3.878,10.215
1711951,Lagoa do Tocantins,2.530,1.830,1.695,2.538,987,3.525
1712009,Lajeado,2.344,1.464,1.309,2.166,607,2.773
1712157,Lavandeira,1.209,838,767,1.023,582,1.605
1712405,Lizarda,3.787,2.011,1.720,2.583,1.148,3.731
1712454,Luzinópolis,2.021,1.350,1.272,1.675,947,2.622
1712504,Marianópolis do Tocantins,3.332,2.318,2.034,2.383,1.969,4.352
1712702,Mateiros,1.646,1.185,1.034,1.411,808,2.219
1712801,Maurilândia do Tocantins,2.854,1.695,1.463,2.020,1.138,3.158
1713205,Miracema do Tocantins,24.444,10.344,10.348,17.945,2.747,20.692
1713304,Miranorte,11.802,6.422,6.204,11.039,1.587,12.626
1713601,Monte do Carmo,5.193,3.602,3.115,2.881,3.836,6.717
1713700,Monte Santo do Tocantins,1.869,1.120,965,450,1.635,2.085
1713957,Muricilândia,2.680,1.657,1.495,1.800,1.352,3.152
1714203,Natividade,8.867,4.596,4.404,7.195,1.805,9.000
1714302,Nazaré,5.150,2.262,2.124,1.991,2.395,4.386
1714880,Nova Olinda,9.385,5.577,5.109,7.465,3.221,10.686
1715002,Nova Rosalândia,3.190,1.965,1.805,2.468,1.302,3.770
1715101,Novo Acordo,3.057,1.921,1.841,3.083,679,3.762
1715150,Novo Alegre,2.274,1.180,1.106,1.699,587,2.286
1715259,Novo Jardim,2.151,1.277,1.180,1.776,681,2.457
1715507,Oliveira de Fátima,958,550,485,815,220,1.035
1721000,Palmas,137.355,112.814,115.483,221.727,6.570,228.297
1715705,Palmeirante,3.610,2.659,2.295,1.926,3.028,4.954
1713809,Palmeiras do Tocantins,4.622,2.998,2.748,3.227,2.519,5.746
1715754,Palmeirópolis,7.068,3.707,3.635,5.984,1.358,7.342
1716109,Paraíso do Tocantins,36.130,22.122,22.310,42.485,1.947,44.432
1716208,Paranã,10.416,5.446,4.889,4.720,5.615,10.335
1716307,Pau D'Arco,4.335,2.459,2.129,2.900,1.688,4.588
1716505,Pedro Afonso,9.028,5.966,5.576,10.019,1.523,11.542
1716604,Peixe,8.763,5.429,4.960,5.236,5.153,10.389
1716653,Pequizeiro,4.591,2.666,2.386,2.390,2.662,5.052
1717008,Pindorama do Tocantins,4.685,2.385,2.121,2.947,1.559,4.506
1717206,Piraquê,2.360,1.626,1.294,1.122,1.798,2.920
1717503,Pium,5.540,3.528,3.168,3.785,2.911,6.696
1717800,Ponte Alta do Bom Jesus,4.574,2.406,2.142,2.505,2.043,4.548
1717909,Ponte Alta do Tocantins,6.172,3.879,3.301,4.527,2.653,7.180
1718006,Porto Alegre do Tocantins,2.393,1.430,1.365,1.918,877,2.795
1718204,Porto Nacional,44.991,24.521,24.622,42.439,6.704,49.143
1718303,Praia Norte,6.781,3.898,3.763,4.470,3.191,7.661
1718402,Presidente Kennedy,3.759,1.884,1.801,3.229,456,3.685
1718451,Pugmil,1.989,1.254,1.112,2.001,365,2.366
1718501,Recursolândia,3.138,2.008,1.760,1.990,1.778,3.768
1718550,Riachinho,3.670,2.166,2.017,1.810,2.373,4.183
1718659,Rio da Conceição,1.189,887,827,1.574,140,1.714
1718709,Rio dos Bois,2.269,1.361,1.209,1.029,1.541,2.570
1718758,Rio Sono,6.089,3.387,2.872,2.404,3.855,6.259
1718808,Sampaio,2.801,1.972,1.896,3.517,351,3.868
1718840,Sandolândia,3.332,1.741,1.585,1.764,1.562,3.326
1718865,Santa Fé do Araguaia,5.507,3.417,3.182,4.374,2.225,6.599
1718881,Santa Maria do Tocantins,2.226,1.518,1.376,1.725,1.169,2.894
1718899,Santa Rita do Tocantins,1.852,1.109,1.019,918,1.210,2.128
1718907,Santa Rosa do Tocantins,4.316,2.412,2.156,2.947,1.621,4.568
1719004,Santa Tereza do Tocantins,2.114,1.339,1.184,1.616,907,2.523
1720002,Santa Terezinha do Tocantins,2.455,1.267,1.204,1.591,880,2.471
1720101,São Bento do Tocantins,3.738,2.406,2.209,2.716,1.899,4.615
1720150,São Félix do Tocantins,1.269,773,672,931,514,1.445
