35;355030;S\xe3o Paulo;48.102.298.491,74;
33;330455;Rio de Janeiro;26.388.481.926,64;
29;292740;Salvador;5.435.139.234,90;
23;230440;Fortaleza;5.911.247.604,01;
31;310620;Belo Horizonte;9.015.566.077,23;
13;130260;Manaus;3.880.357.699,46;
41;410690;Curitiba;4.586.815.137,82;
26;261160;Recife;3.435.966.819,60;
43;431490;Porto Alegre;5.681.813.781,51;
52;520870;Goi\xe2nia;3.926.314.222,76;
15;150140;Bel\xe9m;2.769.580.389,90;
35;351880;Guarulhos;3.142.709.466,80;
35;350950;Campinas;3.631.236.053,92;
21;211130;S\xe3o Lu\xeds;2.455.549.643,54;
33;330490;S\xe3o Gon\xe7alo;1.073.172.738,47;
27;270430;Macei\xf3;1.914.287.801,55;
33;330170;Duque de Caxias;2.090.218.790,53;
24;240810;Natal;1.903.184.368,97;
50;500270;Campo Grande;2.716.809.884,77;
22;221100;Teresina;2.251.208.645,91;
35;354870;S\xe3o Bernardo do Campo;3.254.044.432,04;
25;250750;Jo\xe3o Pessoa;1.811.585.866,70;
33;330350;Nova Igua\xe7u;1.198.878.065,12;
35;354780;Santo Andr\xe9;2.169.818.519,74;
35;354990;S\xe3o Jos\xe9 dos Campos;1.964.308.059,22;
35;353440;Osasco;1.710.872.229,83;
26;260790;Jaboat\xe3o dos Guararapes;1.022.969.700,20;
35;354340;Ribeir\xe3o Preto;2.256.930.790,79;
31;317020;Uberl\xe2ndia;1.721.807.575,41;
35;355220;Sorocaba;1.717.014.342,60;
31;311860;Contagem;1.429.494.997,04;
28;280030;Aracaju;1.695.742.945,11;
29;291080;Feira de Santana;954.053.647,72;
51;510340;Cuiab\xe1;1.820.535.564,12;
42;420910;Joinville;1.726.767.482,52;
31;313670;Juiz de Fora;1.341.798.817,17;
41;411370;Londrina;1.588.524.769,96;
52;520140;Aparecida de Goi\xe2nia;902.717.205,50;
11;110020;Porto Velho;1.163.297.043,52;
15;150080;Ananindeua;570.415.312,36;
32;320500;Serra;924.595.654,43;
33;330330;Niter\xf3i;2.011.003.229,67;
33;330045;Belford Roxo;561.679.567,00;
33;330100;Campos dos Goytacazes;2.038.919.406,36;
32;320520;Vila Velha;871.853.990,64;
42;420540;Florian\xf3polis;1.507.806.061,37;
43;430510;Caxias do Sul;1.662.167.974,50;
16;160030;Macap\xe1;655.579.747,64;
35;352940;Mau\xe1;794.494.346,51;
33;330510;S\xe3o Jo\xe3o de Meriti;460.584.434,51;
35;354980;S\xe3o Jos\xe9 do Rio Preto;1.198.564.727,15;
35;354850;Santos;2.384.641.956,65;
35;353060;Mogi das Cruzes;952.283.944,21;
31;310670;Betim;1.403.684.531,00;
35;351380;Diadema;958.001.851,71;
25;250400;Campina Grande;715.784.861,19;
35;352590;Jundia\xed;1.461.419.994,67;
41;411520;Maring\xe1;1.067.684.389,71;
31;314330;Montes Claros;630.587.513,25;
35;353870;Piracicaba;930.606.508,24;
35;351060;Carapicu\xedba;431.905.145,10;
26;260960;Olinda;564.195.066,54;
32;320130;Cariacica;560.170.041,27;
12;120040;Rio Branco;756.020.324,45;
52;520110;An\xe1polis;772.720.545,45;
35;350600;Bauru;1.053.358.013,68;
32;320530;Vit\xf3ria;1.551.865.927,87;
23;230370;Caucaia;513.792.895,99;
35;352310;Itaquaquecetuba;500.417.445,47;
35;355100;S\xe3o Vicente;663.608.276,67;
26;260410;Caruaru;539.565.124,51;
29;293330;Vit\xf3ria da Conquista;552.082.286,63;
42;420240;Blumenau;1.192.043.204,03;
