ID UF,NOME ESTADO,ID CIDADE,NOME CIDADE,RECEITA,POPULACAO,INVEST ESTADUAL
35,São Paulo,354580,Santa Bárbara d'Oeste,408248854,191889,15967955803
29,Bahia,291005,Dias d'Ávila,147552888,80657,2318356711
11,Rondônia,110013,Machadinho d'Oeste,66838469,38609,27816000801
28,Sergipe,280320,Itaporanga d'Ajuda,74449266,34101,758108427
11,Rondônia,110009,Espigão d'Oeste,63063503,33030,27816000801
51,Mato Grosso,510562,Mirassol d'Oeste,45963957,26768,603513004
11,Rondônia,110001,Alta Floresta d'Oeste,51015817,25437,27816000801
42,Santa Catarina,420670,Herval d'Oeste,54116082,22443,795665237
27,Alagoas,270570,Olho d'Água das Flores,45364423,21767,0
11,Rondônia,110014,Nova Brasilândia d'Oeste,36856666,21747,27816000801
21,Maranhão,210740,Olho d'Água das Cunhãs,42235067,19206,1929327077
11,Rondônia,110034,Alvorada d'Oeste,35483490,16747,27816000801
52,Goiás,522000,São João d'Aliança,22408052,12643,1074019553
41,Paraná,411120,Itapejara d'Oeste,28792023,11685,2542927652
35,São Paulo,353520,Palmeira d'Oeste,19849173,9496,15967955803
27,Alagoas,270580,Olho d'Água do Casado,20403928,9459,0
41,Paraná,412520,São Jorge d'Oeste,40189331,9291,2542927652
35,São Paulo,351520,Estrela d'Oeste,27456704,8466,15967955803
11,Rondônia,110029,Santa Luzia d'Oeste,23409800,8198,27816000801
24,Rio Grande do Norte,240620,Lagoa d'Anta,13880994,6793,452501245
41,Paraná,411900,Pérola d'Oeste,17899028,6674,2542927652
25,Paraíba,251040,Olho d'Água,14567982,6512,324017451
27,Alagoas,270900,Tanque d'Arca,15587568,6270,0
11,Rondônia,110148,São Felipe d'Oeste,15556357,5994,27816000801
31,Minas Gerais,314545,Olhos-d'Água,15547382,5943,0
51,Mato Grosso,510523,Lambari d'Oeste,17458437,5887,603513004
15,Pará,150555,Pau-d'Arco,22977910,5341,1509009431
41,Paraná,410715,Diamante d'Oeste,17660204,5294,2542927652
27,Alagoas,270590,Olho d'Água Grande,17119081,5195,0
31,Minas Gerais,315053,Pingo-d'Água,11673925,4873,0
17,Tocantins,171630,Pau-d'Arco,10220924,4853,461238429
24,Rio Grande do Norte,240840,Olho-d'Água do Borges,14793221,4349,452501245
35,São Paulo,350260,Aparecida d'Oeste,14726743,4329,15967955803
25,Paraíba,250870,Mãe d'Água,11301828,4009,324017451
22,Piauí,220779,Pau d'Arco do Piauí,9899844,3975,931901268
22,Piauí,220117,Barra d'Alcântara,10067842,3889,931901268
51,Mato Grosso,510336,Conquista d'Oeste,17803703,3860,603513004
51,Mato Grosso,510380,Figueirópolis d'Oeste,11382110,3444,603513004
52,Goiás,522070,Sítio d'Abadia,10976681,2998,1074019553
51,Mato Grosso,510395,Glória d'Oeste,12777638,2964,603513004
41,Paraná,412135,Rancho Alegre d'Oeste,14545433,2800,2542927652
35,São Paulo,354740,Santa Rita d'Oeste,15456538,2544,15967955803
22,Piauí,220710,Olho d'Água do Piauí,8231939,2417,931901268
35,São Paulo,355030,São Paulo,48102298491,12106920,15967955803
33,Rio de Janeiro,330455,Rio de Janeiro,26388481926,6520266,1750002048
29,Bahia,292740,Salvador,5435139234,2953986,2318356711
23,Ceará,230440,Fortaleza,5911247604,2627482,2291163978
31,Minas Gerais,310620,Belo Horizonte,9015566077,2523794,0
13,Amazonas,130260,Manaus,3880357699,2130264,495127189
41,Paraná,410690,Curitiba,4586815137,1908359,2542927652
26,Pernambuco,261160,Recife,3435966819,1633697,727926863
43,Rio Grande do Sul,431490,Porto Alegre,5681813781,1484941,0
52,Goiás,520870,Goiânia,3926314222,1466105,1074019553
15,Pará,150140,Belém,2769580389,1452275,1509009431
35,São Paulo,351880,Guarulhos,3142709466,1349113,15967955803
35,São Paulo,350950,Campinas,3631236053,1182429,15967955803
21,Maranhão,211130,São Luís,2455549643,1091868,1929327077
33,Rio de Janeiro,330490,São Gonçalo,1073172738,1049826,1750002048
27,Alagoas,270430,Maceió,1914287801,1029129,0
33,Rio de Janeiro,330170,Duque de Caxias,2090218790,890997,1750002048
24,Rio Grande do Norte,240810,Natal,1903184368,885180,452501245
50,Mato Grosso do Sul,500270,Campo Grande,2716809884,874210,1567538910
22,Piauí,221100,Teresina,2251208645,850198,931901268
35,São Paulo,354870,São Bernardo do Campo,3254044432,827437,15967955803
25,Paraíba,250750,João Pessoa,1811585866,811598,324017451
33,Rio de Janeiro,330350,Nova Iguaçu,1198878065,798647,1750002048
35,São Paulo,354780,Santo André,2169818519,715231,15967955803
35,São Paulo,354990,São José dos Campos,1964308059,703219,15967955803
35,São Paulo,353440,Osasco,1710872229,697886,15967955803
26,Pernambuco,260790,Jaboatão dos Guararapes,1022969700,695956,727926863
35,São Paulo,354340,Ribeirão Preto,2256930790,682302,15967955803
31,Minas Gerais,317020,Uberlândia,1721807575,676613,0
35,São Paulo,355220,Sorocaba,1717014342,659871,15967955803
31,Minas Gerais,311860,Contagem,1429494997,658580,0
28,Sergipe,280030,Aracaju,1695742945,650106,758108427
29,Bahia,291080,Feira de Santana,954053647,627477,2318356711
51,Mato Grosso,510340,Cuiabá,1820535564,590118,603513004
42,Santa Catarina,420910,Joinville,1726767482,577077,795665237
31,Minas Gerais,313670,Juiz de Fora,1341798817,563769,0
41,Paraná,411370,Londrina,1588524769,558439,2542927652
52,Goiás,520140,Aparecida de Goiânia,902717205,542090,1074019553
11,Rondônia,110020,Porto Velho,1163297043,519436,27816000801
15,Pará,150080,Ananindeua,570415312,516057,1509009431
32,Espírito Santo,320500,Serra,924595654,502618,901113127
33,Rio de Janeiro,330330,Niterói,2011003229,499028,1750002048
33,Rio de Janeiro,330045,Belford Roxo,561679567,495783,1750002048
33,Rio de Janeiro,330100,Campos dos Goytacazes,2038919406,490288,1750002048
32,Espírito Santo,320520,Vila Velha,871853990,486388,901113127
42,Santa Catarina,420540,Florianópolis,1507806061,485838,795665237
43,Rio Grande do Sul,430510,Caxias do Sul,1662167974,483377,0
16,Amapá,160030,Macapá,655579747,474706,149105829
35,São Paulo,352940,Mauá,794494346,462005,15967955803
33,Rio de Janeiro,330510,São João de Meriti,460584434,460461,1750002048
35,São Paulo,354980,São José do Rio Preto,1198564727,450657,15967955803
35,São Paulo,354850,Santos,2384641956,434742,15967955803
35,São Paulo,353060,Mogi das Cruzes,952283944,433901,15967955803
31,Minas Gerais,310670,Betim,1403684531,427146,0
35,São Paulo,351380,Diadema,958001851,417869,15967955803
25,Paraíba,250400,Campina Grande,715784861,410332,324017451
35,São Paulo,352590,Jundiaí,1461419994,409497,15967955803
41,Paraná,411520,Maringá,1067684389,406693,2542927652
31,Minas Gerais,314330,Montes Claros,630587513,402027,0
35,São Paulo,353870,Piracicaba,930606508,397322,15967955803
35,São Paulo,351060,Carapicuíba,431905145,396587,15967955803
26,Pernambuco,260960,Olinda,564195066,390771,727926863
32,Espírito Santo,320130,Cariacica,560170041,387368,901113127
12,Acre,120040,Rio Branco,756020324,383443,0
52,Goiás,520110,Anápolis,772720545,375142,1074019553
35,São Paulo,350600,Bauru,1053358013,371690,15967955803
32,Espírito Santo,320530,Vitória,1551865927,363140,901113127
23,Ceará,230370,Caucaia,513792895,362223,2291163978
35,São Paulo,352310,Itaquaquecetuba,500417445,360657,15967955803
35,São Paulo,355100,São Vicente,663608276,360380,15967955803
26,Pernambuco,260410,Caruaru,539565124,356128,727926863
29,Bahia,293330,Vitória da Conquista,552082286,348718,2318356711
42,Santa Catarina,420240,Blumenau,1192043204,348513,795665237
35,São Paulo,351620,Franca,557176777,347237,15967955803
43,Rio Grande do Sul,431440,Pelotas,575769624,344385,0
41,Paraná,411990,Ponta Grossa,607852399,344332,2542927652
43,Rio Grande do Sul,430460,Canoas,1261768797,343853,0
26,Pernambuco,261110,Petrolina,529731208,343219,727926863
14,Roraima,140010,Boa Vista,904501635,332020,162038774
31,Minas Gerais,315460,Ribeirão das Neves,346713055,328871,0
26,Pernambuco,261070,Paulista,388066187,328353,727926863
31,Minas Gerais,317010,Uberaba,854252984,328272,0
41,Paraná,410480,Cascavel,617606104,319608,2542927652
35,São Paulo,351870,Guarujá,1059012862,315563,15967955803
35,São Paulo,354100,Praia Grande,1057959235,310024,15967955803
35,São Paulo,355410,Taubaté‎,942270856,307953,15967955803
35,São Paulo,352690,Limeira,869281394,300911,15967955803
33,Rio de Janeiro,330390,Petrópolis,892917227,298235,1750002048
29,Bahia,290570,Camaçari,1006365978,296893,2318356711
15,Pará,150680,Santarém,484702367,296302,1509009431
24,Rio Grande do Norte,240800,Mossoró,464062490,295619,452501245
35,São Paulo,355250,Suzano,611288719,290769,15967955803
17,Tocantins,172100,Palmas,874504781,286787,461238429
31,Minas Gerais,312770,Governador Valadares,579061722,280901,0
35,São Paulo,355280,Taboão da Serra,675966537,279634,15967955803
43,Rio Grande do Sul,431690,Santa Maria,540211554,278445,0
43,Rio Grande do Sul,430920,Gravataí,514806892,275146,0
51,Mato Grosso,510840,Várzea Grande,387143960,274013,603513004
35,São Paulo,355240,Sumaré,622534355,273007,15967955803
15,Pará,150420,Marabá,673892103,271594,1509009431
23,Ceará,230730,Juazeiro do Norte,436981848,270383,2291163978
35,São Paulo,350570,Barueri,2215628101,267534,15967955803
35,São Paulo,351500,Embu das Artes,457808787,267054,15967955803
33,Rio de Janeiro,330630,Volta Redonda,630124997,265201,1750002048
41,Paraná,410830,Foz do Iguaçu,678025638,264044,2542927652
31,Minas Gerais,313130,Ipatinga,610437624,261203,0
24,Rio Grande do Norte,240325,Parnamirim,373707399,254709,452501245
21,Maranhão,210530,Imperatriz,497255049,254569,1929327077
43,Rio Grande do Sul,432300,Viamão,289585839,253717,0
43,Rio Grande do Sul,431340,Novo Hamburgo,589640543,249508,0
35,São Paulo,354890,São Carlos,531979141,246088,15967955803
33,Rio de Janeiro,330240,Macaé,2224303629,244139,1750002048
42,Santa Catarina,421660,São José,526976866,239718,795665237
35,São Paulo,352050,Indaiatuba,884447235,239602,15967955803
35,São Paulo,351300,Cotia,638429564,237750,15967955803
33,Rio de Janeiro,330250,Magé,408075800,237420,1750002048
41,Paraná,410580,Colombo,324871475,237402,2542927652
31,Minas Gerais,316720,Sete Lagoas,579819254,236228,0
35,São Paulo,352900,Marília,518047448,235234,15967955803
31,Minas Gerais,312230,Divinópolis,467405443,234937,0
27,Alagoas,270030,Arapiraca,598567164,234185,0
35,São Paulo,350160,Americana,564771116,233868,15967955803
33,Rio de Janeiro,330190,Itaboraí,559572660,232394,1750002048
43,Rio Grande do Sul,431870,São Leopoldo,633569124,230914,0
35,São Paulo,350320,Araraquara,671356682,230770,15967955803
35,São Paulo,352440,Jacareí,570412899,229851,15967955803
35,São Paulo,352250,Itapevi,509304319,229502,15967955803
35,São Paulo,354140,Presidente Prudente,510188740,225271,15967955803
23,Ceará,230765,Maracanaú,603280529,224804,2291163978
51,Mato Grosso,510760,Rondonópolis,518378787,222316,603513004
35,São Paulo,351907,Hortolândia,628697787,222186,15967955803
29,Bahia,291840,Juazeiro,454291105,221773,2318356711
29,Bahia,291480,Itabuna,442561280,221046,2318356711
31,Minas Gerais,315780,Santa Luzia,323522494,218897,0
50,Mato Grosso do Sul,500370,Dourados,689625925,218069,1567538910
52,Goiás,521880,Rio Verde,648311343,217048,1074019553
33,Rio de Janeiro,330070,Cabo Frio,734826942,216030,1750002048
42,Santa Catarina,420420,Chapecó,591383378,213279,795665237
42,Santa Catarina,420820,Itajaí,1148809189,212615,795665237
32,Espírito Santo,320120,Cachoeiro de Itapemirim,378360147,211649,901113127
42,Santa Catarina,420460,Criciúma,560971747,211369,795665237
43,Rio Grande do Sul,431560,Rio Grande,517349832,209378,0
43,Rio Grande do Sul,430060,Alvorada,278282808,208177,0
23,Ceará,231290,Sobral,537260963,205529,2291163978
26,Pernambuco,260290,Cabo de Santo Agostinho,565659695,204653,727926863
35,São Paulo,354390,Rio Claro,658649624,202952,15967955803
15,Pará,150553,Parauapebas,943525234,202356,1509009431
52,Goiás,521250,Luziânia,325735212,199615,1074019553
43,Rio Grande do Sul,431410,Passo Fundo,455218886,198799,0
29,Bahia,291920,Lauro de Freitas,431336521,197636,2318356711
52,Goiás,520025,Águas Lindas de Goiás,289246976,195810,1074019553
15,Pará,150240,Castanhal,324826145,195253,1509009431
35,São Paulo,350280,Araçatuba,428860184,194874,15967955803
33,Rio de Janeiro,330010,Angra dos Reis,945196562,194619,1750002048
35,São Paulo,351570,Ferraz de Vasconcelos,274534090,188868,15967955803
33,Rio de Janeiro,330340,Nova Friburgo,419910658,185381,1750002048
28,Sergipe,280480,Nossa Senhora do Socorro,228093959,181928,758108427
41,Paraná,410940,Guarapuava,313202030,180364,2542927652
33,Rio de Janeiro,330040,Barra Mansa,439619822,179451,1750002048
31,Minas Gerais,312980,Ibirité,294831266,177475,0
21,Maranhão,211120,São José de Ribamar,255818562,176418,1929327077
29,Bahia,291360,Ilhéus,312087690,176341,2318356711
33,Rio de Janeiro,330580,Teresópolis,416455909,176060,1750002048
17,Tocantins,170210,Araguaína,313441654,175960,461238429
35,São Paulo,351630,Francisco Morato,275523920,171602,15967955803
33,Rio de Janeiro,330285,Mesquita,215500438,171280,1750002048
35,São Paulo,352220,Itapecerica da Serra,357061026,170927,15967955803
42,Santa Catarina,420890,Jaraguá do Sul,634742654,170835,795665237
35,São Paulo,352390,Itu,475523420,170157,15967955803
32,Espírito Santo,320320,Linhares,554698084,169048,901113127
21,Maranhão,211220,Timon,297022512,167619,1929327077
31,Minas Gerais,315180,Poços de Caldas,460885621,166085,0
42,Santa Catarina,421190,Palhoça,381390516,164926,795665237
35,São Paulo,350760,Bragança Paulista,400643041,164163,15967955803
35,São Paulo,353800,Pindamonhangaba,371472965,164000,15967955803
21,Maranhão,210300,Caxias,354526184,162657,1929327077
29,Bahia,291800,Jequié,285838588,162209,2318356711
29,Bahia,293135,Teixeira de Freitas,294530985,161690,2318356711
35,São Paulo,352230,Itapetininga,380704429,160070,15967955803
35,São Paulo,354880,São Caetano do Sul,1295126610,159608,15967955803
52,Goiás,522185,Valparaíso de Goiás,259318789,159500,1074019553
42,Santa Catarina,420930,Lages,439249124,158508,795665237
33,Rio de Janeiro,330320,Nilópolis,262105443,158329,1750002048
29,Bahia,290320,Barreiras,319358734,157638,2318356711
26,Pernambuco,260345,Camaragibe,228578810,156361,727926863
29,Bahia,290070,Alagoinhas,275781044,155979,2318356711
15,Pará,150010,Abaetetuba,207937777,153380,1509009431
33,Rio de Janeiro,330270,Maricá,590787632,153008,1750002048
41,Paraná,411820,Paranaguá,358791399,152975,2542927652
31,Minas Gerais,314800,Patos de Minas,344210736,150893,0
22,Piauí,220770,Parnaíba,260947756,150547,931901268
35,São Paulo,351640,Franco da Rocha,271116536,149502,15967955803
35,São Paulo,353070,Mogi Guaçu,408027649,149396,15967955803
29,Bahia,292530,Porto Seguro,303674895,149324,2318356711
31,Minas Gerais,315250,Pouso Alegre,394597935,147137,0
35,São Paulo,352530,Jaú,319025586,146338,15967955803
33,Rio de Janeiro,330414,Queimados,296632880,145386,1750002048
35,São Paulo,350750,Botucatu,341532007,142546,15967955803
31,Minas Gerais,316860,Teófilo Otoni,279883563,141934,0
33,Rio de Janeiro,330452,Rio das Ostras,612141877,141117,1750002048
35,São Paulo,350410,Atibaia,391512563,139683,15967955803
43,Rio Grande do Sul,432000,Sapucaia do Sul,324909038,139476,0
26,Pernambuco,260600,Garanhuns,268022738,138642,727926863
26,Pernambuco,261640,Vitória de Santo Antão,227170861,137578,727926863
41,Paraná,410180,Araucária,809017600,137452,2542927652
25,Paraíba,251370,Santa Rita,189546874,136851,324017451
31,Minas Gerais,310560,Barbacena,292267609,136689,0
29,Bahia,293070,Simões Filho,293659118,136050,2318356711
31,Minas Gerais,315670,Sabará,223105716,135968,0
51,Mato Grosso,510790,Sinop,280668246,135874,603513004
41,Paraná,412770,Toledo,384815424,135538,2542927652
42,Santa Catarina,420200,Balneário Camboriú,637067349,135268,795665237
31,Minas Gerais,317070,Varginha,242451913,134364,0
15,Pará,150210,Cametá,192718159,134100,1509009431
41,Paraná,410140,Apucarana,254124910,132691,2542927652
11,Rondônia,110012,Ji-Paraná,214814480,132667,27816000801
35,São Paulo,354730,Santana de Parnaíba,732382939,131887,15967955803
35,São Paulo,350330,Araras,320927959,131282,15967955803
23,Ceará,230420,Crato,217923470,130604,2291163978
43,Rio Grande do Sul,432240,Uruguaiana,204548215,129784,0
41,Paraná,411915,Pinhais,297695990,129445,2542927652
42,Santa Catarina,420290,Brusque,341199723,128818,795665237
32,Espírito Santo,320490,São Mateus,265478063,128449,901113127
15,Pará,150442,Marituba,202936402,127858,1509009431
23,Ceará,230640,Itapipoca,215827134,127465,2291163978
43,Rio Grande do Sul,431680,Santa Cruz do Sul,351964430,127429,0
31,Minas Gerais,311830,Conselheiro Lafaiete,177822407,127369,0
43,Rio Grande do Sul,430310,Cachoeirinha,326667845,127318,0
41,Paraná,410420,Campo Largo,223071653,127309,2542927652
33,Rio de Janeiro,330420,Resende,465492492,126923,1750002048
33,Rio de Janeiro,330020,Araruama,278174396,126742,1750002048
23,Ceará,230770,Maranguape,177442220,126486,2291163978
15,Pará,150730,São Félix do Xingu,141124502,124806,1509009431
32,Espírito Santo,320150,Colatina,287109377,124525,901113127
15,Pará,150170,Bragança,135865980,124184,1509009431
35,São Paulo,355620,Valinhos,357752428,124024,15967955803
32,Espírito Santo,320240,Guarapari,272159528,123166,901113127
35,São Paulo,355170,Sertãozinho,346164307,122643,15967955803
21,Maranhão,210750,Paço do Lumiar,146842759,122420,1929327077
33,Rio de Janeiro,330200,Itaguaí,540318649,122369,1750002048
31,Minas Gerais,317120,Vespasiano,232066690,122365,0
43,Rio Grande do Sul,430160,Bagé,278426741,122209,0
35,São Paulo,354330,Ribeirão Pires,251586569,121848,15967955803
35,São Paulo,352500,Jandira,262125196,121492,15967955803
52,Goiás,522140,Trindade,158213731,121266,1074019553
15,Pará,150130,Barcarena,263973535,121190,1509009431
21,Maranhão,210330,Codó,191351059,120810,1929327077
29,Bahia,292400,Paulo Afonso,215133017,120706,2318356711
35,São Paulo,350650,Birigui,251675535,120692,15967955803
35,São Paulo,351110,Catanduva,292169481,120691,15967955803
35,São Paulo,350550,Barretos,388507550,120638,15967955803
35,São Paulo,351840,Guaratinguetá,268111458,120417,15967955803
35,São Paulo,355700,Votorantim,255481788,119898,15967955803
31,Minas Gerais,313170,Itabira,447686081,119285,0
35,São Paulo,355400,Tatuí,287269028,118939,15967955803
35,São Paulo,355650,Várzea Paulista,228248494,118917,15967955803
41,Paraná,410150,Arapongas,215165565,118477,2542927652
50,Mato Grosso do Sul,500830,Três Lagoas,395875288,117477,1567538910
31,Minas Gerais,310350,Araguari,254648931,117445,0
35,São Paulo,351050,Caraguatatuba,530177996,116786,15967955803
35,São Paulo,352340,Itatiba,332695214,116503,15967955803
