ID UF,NOME ESTADO,,,,,
11,Rondônia,17849683882,8295007842,1671309077,27816000801,
12,Acre,0,0,0,0,
13,Amazonas,258869920,59065801,177191468,495127189,
14,Roraima,133704898,28333876,0,162038774,
15,Pará,971518845,134444465,403046121,1509009431,
16,Amapá,124514488,24591341,0,149105829,
17,Tocantins,293248118,127944870,40045441,461238429,
21,Maranhão,900529264,895193714,133604099,1929327077,
22,Piauí,573339296,336016417,22545555,931901268,
23,Ceará,1261839581,908467602,120856795,2291163978,
24,Rio Grande do Norte,382554091,28144639,41802515,452501245,
25,Paraíba,191344009,129816085,2857357,324017451,
26,Pernambuco,551894524,144208334,31824005,727926863,
27,Alagoas,,,,0,A UF Alagoas não transmitiu por meio do SIOPE 2015 Anual.
28,Sergipe,334896197,333780900,89431330,758108427,
29,Bahia,1575632253,600830383,141894075,2318356711,
31,Minas Gerais,,,,0,A UF Minas Gerais não transmitiu por meio do SIOPE 2015 Anual.
32,Espírito Santo,400876519,439950470,60286138,901113127,
33,Rio de Janeiro,1555997756,137758834,56245458,1750002048,
35,São Paulo,7757075474,7521081830,689798499,15967955803,
41,Paraná,1517553938,933500153,91873561,2542927652,
42,Santa Catarina,756629080,37434157,1602000,795665237,
43,Rio Grande do Sul,,,,0,A UF Rio Grande do Sul não transmitiu por meio do SIOPE 2015 Anual.
50,Mato Grosso do Sul,561716400,980546292,25276218,1567538910,
51,Mato Grosso,443114799,155153118,5245087,603513004,
52,Goiás,255221177,722398927,96399449,1074019553,
