Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1200013,Acrelândia,7.935,6.597,5.941,5.916,6.622,12.538
1200054,Assis Brasil,3.490,3.091,2.984,3.703,2.372,6.075
1200104,Brasiléia,17.013,11.060,10.378,14.299,7.139,21.438
1200138,Bujari,5.826,4.560,3.914,3.681,4.793,8.474
1200179,Capixaba,5.206,4.658,4.152,3.928,4.882,8.810
1200203,Cruzeiro do Sul,67.441,39.185,39.259,55.259,23.185,78.444
1200252,Epitaciolândia,11.028,7.636,7.490,10.622,4.504,15.126
1200302,Feijó,26.722,16.660,15.651,16.635,15.676,32.311
1200328,Jordão,4.454,3.396,3.135,2.265,4.266,6.531
1200336,Mâncio Lima,11.095,7.856,7.390,8.782,6.464,15.246
1200344,Manoel Urbano,6.374,4.256,3.733,5.285,2.704,7.989
1200351,Marechal Thaumaturgo,8.295,7.437,6.763,3.971,10.229,14.200
1200385,Plácido de Castro,15.172,8.997,8.206,10.390,6.813,17.203
1200807,Porto Acre,11.418,7.806,7.000,1.955,12.851,14.806
1200393,Porto Walter,5.485,4.791,4.381,3.317,5.855,9.172
1200401,Rio Branco,253.059,163.396,172.400,308.418,27.378,335.796
1200427,Rodrigues Alves,8.093,7.450,6.884,4.325,10.009,14.334
1200435,Santa Rosa do Purus,2.246,2.373,2.239,1.894,2.718,4.612
1200500,Sena Madureira,29.420,19.704,18.289,25.132,12.861,37.993
1200450,Senador Guiomard,19.761,10.328,9.825,12.670,7.483,20.153
1200609,Tarauacá,26.037,18.317,17.209,19.363,16.163,35.526
1200708,Xapuri,11.956,8.310,7.706,10.270,5.746,16.016
Total,Acre,557.526,367.864,364.929,532.080,200.713,732.793
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
