Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2300101,Abaiara,8.385,5.215,5.274,4.552,5.937,10.489
2300150,Acarape,12.927,7.570,7.767,7.982,7.355,15.337
2300200,Acaraú,48.968,29.093,28.449,28.237,29.305,57.542
2300309,Acopiara,47.137,25.629,25.542,25.237,25.934,51.171
2300408,Aiuaba,14.452,8.119,8.088,3.955,12.252,16.207
2300507,Alcântaras,9.548,5.315,5.458,3.450,7.323,10.773
2300606,Altaneira,5.687,3.313,3.538,4.952,1.899,6.851
2300705,Alto Santo,15.394,8.218,8.142,8.040,8.320,16.360
2300754,Amontada,32.333,20.360,18.873,15.949,23.284,39.233
2300804,Antonina do Norte,6.509,3.344,3.640,4.999,1.985,6.984
2300903,Apuiarés,12.540,7.073,6.854,5.774,8.153,13.927
2301000,Aquiraz,60.469,37.142,35.509,67.103,5.548,72.651
2301109,Aracati,61.187,34.152,35.015,44.038,25.129,69.167
2301208,Aracoiaba,24.064,12.795,12.610,13.745,11.660,25.405
2301257,Ararendá,10.008,5.183,5.317,4.908,5.592,10.500
2301307,Araripe,19.606,10.292,10.397,12.737,7.952,20.689
2301406,Aratuba,12.359,5.823,5.706,3.769,7.760,11.529
2301505,Arneiroz,7.538,3.853,3.804,3.884,3.773,7.657
2301604,Assaré,20.882,11.081,11.367,11.955,10.493,22.448
2301703,Aurora,25.207,12.223,12.350,11.830,12.743,24.573
2301802,Baixio,5.724,3.055,2.971,3.304,2.722,6.026
2301851,Banabuiú,16.173,8.739,8.581,8.760,8.560,17.320
2301901,Barbalha,47.031,26.939,28.434,38.039,17.334,55.373
2301950,Barreira,17.024,9.736,9.838,8.127,11.447,19.574
2302008,Barro,20.007,10.632,10.896,13.168,8.360,21.528
2302057,Barroquinha,13.921,7.319,7.156,9.771,4.704,14.475
2302107,Baturité,29.861,16.402,16.924,24.446,8.880,33.326
2302206,Beberibe,42.343,24.860,24.474,21.639,27.695,49.334
2302305,Bela Cruz,28.358,15.698,15.175,12.992,17.881,30.873
2302404,Boa Viagem,50.306,26.347,26.174,26.622,25.899,52.521
2302503,Brejo Santo,38.484,21.913,23.277,28.048,17.142,45.190
2302602,Camocim,55.448,29.769,30.394,44.647,15.516,60.163
2302701,Campos Sales,25.566,12.707,13.803,19.085,7.425,26.510
2302800,Canindé,69.601,36.920,37.566,46.878,27.608,74.486
2302909,Capistrano,15.830,8.637,8.426,6.212,10.851,17.063
2303006,Caridade,15.604,10.123,9.897,11.523,8.497,20.020
