Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
3100104,Abadia dos Dourados,6.446,3.399,3.305,4.189,2.515,6.704
3100203,Abaeté,22.360,11.229,11.471,19.714,2.986,22.700
3100302,Abre Campo,13.348,6.670,6.641,7.284,6.027,13.311
3100401,Acaiaca,3.889,1.895,2.029,2.553,1.371,3.924
3100500,Açucena,11.489,5.231,5.067,4.826,5.472,10.298
3100609,Água Boa,17.795,7.739,7.454,7.042,8.151,15.193
3100708,Água Comprida,2.092,1.071,949,1.516,504,2.020
3100807,Aguanil,3.562,2.055,1.994,2.337,1.712,4.049
3100906,Águas Formosas,17.845,9.318,9.164,14.321,4.161,18.482
3101003,Águas Vermelhas,11.878,6.527,6.191,8.943,3.775,12.718
3101102,Aimorés,25.105,12.060,12.909,19.705,5.264,24.969
3101201,Aiuruoca,6.469,3.212,2.961,3.123,3.050,6.173
3101300,Alagoa,2.800,1.408,1.301,1.110,1.599,2.709
3101409,Albertina,2.841,1.488,1.425,2.012,901,2.913
3101508,Além Paraíba,33.610,16.541,17.800,32.062,2.279,34.341
3101607,Alfenas,66.957,36.049,37.673,69.127,4.595,73.722
3101631,Alfredo Vasconcelos,5.101,3.116,2.962,4.032,2.046,6.078
3101706,Almenara,35.385,19.536,19.243,31.751,7.028,38.779
3101805,Alpercata,6.966,3.590,3.582,5.660,1.512,7.172
3101904,Alpinópolis,17.031,9.494,8.996,14.994,3.496,18.490
3102001,Alterosa,12.976,6.978,6.736,10.000,3.714,13.714
3102050,Alto Caparaó,4.673,2.726,2.571,3.972,1.325,5.297
3153509,Alto Jequitibá,8.458,4.252,4.071,4.302,4.021,8.323
3102100,Alto Rio Doce,13.858,6.102,6.056,5.069,7.089,12.158
3102209,Alvarenga,5.212,2.237,2.206,2.119,2.324,4.443
3102308,Alvinópolis,15.588,7.536,7.727,11.433,3.830,15.263
3102407,Alvorada de Minas,3.527,1.777,1.771,1.450,2.098,3.548
3102506,Amparo do Serra,5.477,2.484,2.568,2.642,2.410,5.052
3102605,Andradas,32.968,18.707,18.595,28.059,9.243,37.302
