Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2500106,Água Branca,8.377,4.720,4.729,4.061,5.388,9.449
2500205,Aguiar,5.638,2.706,2.824,2.701,2.829,5.530
2500304,Alagoa Grande,29.169,13.862,14.620,17.532,10.950,28.482
2500403,Alagoa Nova,18.575,9.764,9.922,9.797,9.889,19.686
2500502,Alagoinha,11.833,6.706,6.871,9.033,4.544,13.577
2500536,Alcantil,4.958,2.626,2.613,2.064,3.175,5.239
2500577,Algodão de Jandaíra,2.209,1.218,1.148,1.231,1.135,2.366
2500601,Alhandra,15.914,8.863,9.138,11.146,6.855,18.001
2500734,Amparo,1.886,1.047,1.041,1.062,1.026,2.088
2500775,Aparecida,5.894,3.796,3.880,3.638,4.038,7.676
2500809,Araçagi,18.095,8.574,8.650,6.804,10.420,17.224
2500908,Arara,11.530,6.074,6.579,8.924,3.729,12.653
2501005,Araruna,16.605,9.328,9.558,9.330,9.556,18.886
2501104,Areia,26.131,11.668,12.169,14.602,9.235,23.837
2501153,Areia de Baraúnas,2.104,963,964,1.017,910,1.927
2501203,Areial,6.039,3.060,3.410,4.600,1.870,6.470
2501302,Aroeiras,19.520,9.227,9.862,9.538,9.551,19.089
2501351,Assunção,2.960,1.779,1.743,2.846,676,3.522
2501401,Baía da Traição,6.483,4.035,3.972,3.091,4.916,8.007
2501500,Bananeiras,21.810,10.786,11.068,8.667,13.187,21.854
2501534,Baraúna,3.169,2.111,2.111,3.189,1.033,4.222
2501609,Barra de Santa Rosa,13.127,7.087,7.073,7.959,6.201,14.160
2501575,Barra de Santana,8.311,4.146,4.059,731,7.474,8.205
2501708,Barra de São Miguel,5.162,2.918,2.693,2.364,3.247,5.611
2501807,Bayeux,87.561,47.753,52.005,98.834,924,99.758
2501906,Belém,16.605,8.344,8.739,14.102,2.981,17.083
2502003,Belém do Brejo do Cruz,7.011,3.607,3.536,5.260,1.883,7.143
2502052,Bernardino Batista,2.559,1.476,1.599,858,2.217,3.075
2502102,Boa Ventura,6.588,2.899,2.852,3.522,2.229,5.751
2502151,Boa Vista,4.983,3.084,3.140,3.205,3.019,6.224
2502201,Bom Jesus,2.193,1.221,1.178,991,1.408,2.399
2502300,Bom Sucesso,5.285,2.477,2.560,2.030,3.007,5.037
2502409,Bonito de Santa Fé,9.230,5.351,5.455,7.401,3.405,10.806
2502508,Boqueirão,15.867,8.325,8.564,12.008,4.881,16.889
2502706,Borborema,4.730,2.558,2.553,3.732,1.379,5.111
2502805,Brejo do Cruz,11.868,6.510,6.613,9.898,3.225,13.123
2502904,Brejo dos Santos,5.948,3.091,3.106,4.631,1.566,6.197
2503001,Caaporã,18.441,10.091,10.272,17.549,2.814,20.363
2503100,Cabaceiras,4.290,2.495,2.540,2.217,2.818,5.035
2503209,Cabedelo,42.832,27.623,30.303,57.918,8,57.926
2503308,Cachoeira dos Índios,7.834,4.820,4.726,3.403,6.143,9.546
2503407,Cacimba de Areia,3.577,1.779,1.778,1.674,1.883,3.557
2503506,Cacimba de Dentro,16.817,8.219,8.536,9.164,7.591,16.755
2503555,Cacimbas,6.979,3.284,3.530,1.641,5.173,6.814
2503605,Caiçara,7.325,3.619,3.601,5.190,2.030,7.220
2503704,Cajazeiras,54.715,27.930,30.507,47.489,10.948,58.437
2503753,Cajazeirinhas,2.848,1.548,1.485,1.000,2.033,3.033
2503803,Caldas Brandão,5.155,2.803,2.834,3.224,2.413,5.637
2503902,Camalaú,5.516,2.841,2.908,2.887,2.862,5.749
2504009,Campina Grande,355.331,182.249,203.027,367.278,17.998,385.276
2504033,Capim,4.180,2.815,2.786,4.106,1.495,5.601
