Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2600054,Abreu e Lima,89.039,45.165,49.263,86.589,7.839,94.428
2600104,Afogados da Ingazeira,32.922,16.790,18.301,27.406,7.685,35.091
2600203,Afrânio,15.014,8.751,8.837,5.859,11.729,17.588
2600302,Agrestina,20.036,10.938,11.742,16.955,5.725,22.680
2600401,Água Preta,28.531,16.581,16.465,18.708,14.338,33.046
2600500,Águas Belas,36.641,19.545,20.462,24.300,15.707,40.007
2600609,Alagoinha,12.535,6.906,6.855,7.770,5.991,13.761
2600708,Aliança,37.189,18.579,18.835,20.249,17.165,37.414
2600807,Altinho,22.131,11.114,11.249,12.781,9.582,22.363
2600906,Amaraji,21.309,10.982,10.943,16.033,5.892,21.925
2601003,Angelim,9.082,5.019,5.185,6.089,4.115,10.204
2601052,Araçoiaba,15.108,9.014,9.130,15.261,2.883,18.144
2601102,Araripina,70.898,37.884,39.479,46.975,30.388,77.363
2601201,Arcoverde,61.600,32.563,36.594,62.899,6.258,69.157
2601300,Barra de Guabiraba,10.939,6.506,6.259,11.379,1.386,12.765
2601409,Barreiros,39.139,19.881,20.839,33.969,6.751,40.720
2601508,Belém de Maria,10.626,5.637,5.712,7.988,3.361,11.349
2601607,Belém do São Francisco,20.208,9.944,10.292,12.582,7.654,20.236
2601706,Belo Jardim,68.698,34.765,37.647,58.208,14.204,72.412
2601805,Betânia,11.305,6.014,5.991,3.709,8.296,12.005
2601904,Bezerros,57.371,28.051,30.624,49.747,8.928,58.675
2602001,Bodocó,31.731,17.643,17.535,12.836,22.342,35.178
2602100,Bom Conselho,42.085,22.010,23.496,29.782,15.724,45.506
2602209,Bom Jardim,37.013,18.461,19.367,15.191,22.637,37.828
2602308,Bonito,37.750,18.575,18.995,26.210,11.360,37.570
2602407,Brejão,8.916,4.338,4.513,3.571,5.280,8.851
2602506,Brejinho,7.278,3.608,3.699,3.386,3.921,7.307
2602605,Brejo da Madre de Deus,38.109,22.150,23.042,35.135,10.057,45.192
2602704,Buenos Aires,12.007,6.197,6.340,7.917,4.620,12.537
2602803,Buíque,44.169,25.572,26.418,21.121,30.869,51.990
2602902,Cabo de Santo Agostinho,152.977,90.887,94.236,167.830,17.293,185.123
2603009,Cabrobó,26.741,15.060,15.823,19.811,11.072,30.883
2603108,Cachoeirinha,17.042,9.110,9.723,15.221,3.612,18.833
2603207,Caetés,24.137,13.172,13.405,7.520,19.057,26.577
2603306,Calçado,11.709,5.566,5.559,3.810,7.315,11.125
2603405,Calumbi,7.079,2.723,2.928,2.181,3.470,5.651
2603454,Camaragibe,128.702,69.237,75.269,144.506,0,144.506
2603504,Camocim de São Félix,15.115,8.323,8.781,14.329,2.775,17.104
2603603,Camutanga,7.844,4.081,4.066,6.525,1.622,8.147
2603702,Canhotinho,24.920,12.375,12.161,14.121,10.415,24.536
2603801,Capoeiras,19.556,9.772,9.821,6.263,13.330,19.593
2603900,Carnaíba,17.696,9.170,9.415,7.633,10.952,18.585
2603926,Carnaubeira da Penha,10.404,6.001,5.781,1.982,9.800,11.782
2604007,Carpina,63.811,35.540,39.311,72.061,2.790,74.851
2604106,Caruaru,253.634,149.146,165.805,278.098,36.853,314.951
2604155,Casinhas,13.345,6.813,6.978,1.688,12.103,13.791
2604205,Catende,31.257,18.305,19.525,28.877,8.953,37.830
2604304,Cedro,9.551,5.391,5.387,6.291,4.487,10.778
2604403,Chã de Alegria,11.102,6.078,6.297,9.515,2.860,12.375
2604502,Chã Grande,18.407,9.910,10.110,13.670,6.350,20.020
2604601,Condado,21.797,11.850,12.448,22.657,1.641,24.298
2604700,Correntes,17.044,8.609,8.812,10.329,7.092,17.421
2604809,Cortês,12.681,6.186,6.272,7.905,4.553,12.458
2604908,Cumaru,27.489,8.506,8.660,8.032,9.134,17.166
2605004,Cupira,22.383,11.043,12.349,20.790,2.602,23.392
2605103,Custódia,29.969,16.850,17.455,21.947,12.358,34.305
2605152,Dormentes,14.411,8.655,8.260,6.004,10.911,16.915
2605202,Escada,57.341,31.151,32.384,53.985,9.550,63.535
2605301,Exu,32.423,15.485,16.151,16.303,15.333,31.636
2605400,Feira Nova,18.857,9.980,10.608,16.329,4.259,20.588
2605459,Fernando de Noronha,2.051,1.294,1.335,2.629,0,2.629
2605509,Ferreiros,10.727,5.656,5.781,9.169,2.268,11.437
2605608,Flores,20.823,10.939,11.232,9.364,12.807,22.171
2605707,Floresta,24.729,14.427,14.857,19.972,9.312,29.284
2605806,Frei Miguelinho,12.978,6.963,7.268,3.383,10.848,14.231
2605905,Gameleira,24.003,14.104,13.811,19.504,8.411,27.915
2606002,Garanhuns,117.749,60.962,68.430,115.344,14.048,129.392
2606101,Glória do Goitá,27.554,14.503,15.172,15.631,14.044,29.675
2606200,Goiana,71.177,36.651,38.997,58.045,17.603,75.648
2606309,Granito,6.110,3.453,3.404,3.178,3.679,6.857
2606408,Gravatá,67.273,37.032,39.637,68.389,8.280,76.669
2606507,Iati,17.691,9.124,9.147,7.718,10.553,18.271
2606606,Ibimirim,24.340,13.336,13.623,14.897,12.062,26.959
2606705,Ibirajuba,7.438,3.791,3.743,3.140,4.394,7.534
2606804,Igarassu,82.277,49.313,52.674,93.888,8.099,101.987
2606903,Iguaraci,11.486,5.915,5.865,6.112,5.668,11.780
2607604,Ilha de Itamaracá,15.858,12.861,9.588,17.521,4.928,22.449
2607000,Inajá,13.280,9.554,9.527,7.958,11.123,19.081
2607109,Ingazeira,4.567,2.290,2.206,2.456,2.040,4.496
2607208,Ipojuca,59.281,39.840,40.702,59.640,20.902,80.542
2607307,Ipubi,23.042,13.850,14.270,17.284,10.836,28.120
2607406,Itacuruba,3.669,2.132,2.237,3.708,661,4.369
2607505,Itaíba,26.799,13.039,13.225,9.651,16.613,26.264
2607653,Itambé,34.982,17.484,17.914,29.424,5.974,35.398
2607703,Itapetim,14.766,6.852,7.030,8.427,5.455,13.882
2607752,Itapissuma,20.116,11.944,11.779,18.401,5.322,23.723
2607802,Itaquitinga,14.950,7.885,7.813,12.065,3.633,15.698
2607901,Jaboatão dos Guararapes,581.556,304.840,339.859,630.683,14.016,644.699
2607950,Jaqueira,11.653,5.719,5.794,7.089,4.424,11.513
2608008,Jataúba,14.653,7.848,7.962,9.181,6.629,15.810
2608057,Jatobá,13.148,6.847,7.135,6.097,7.885,13.982
2608107,João Alfredo,27.023,14.869,15.866,15.015,15.720,30.735
2608206,Joaquim Nabuco,15.925,7.902,7.872,11.507,4.267,15.774
2608255,Jucati,9.695,5.272,5.332,2.828,7.776,10.604
2608305,Jupi,12.329,6.686,7.023,8.360,5.349,13.709
2608404,Jurema,13.741,7.098,7.396,8.748,5.746,14.494
2608503,LAGOA DE ITAENGA,20.172,10.071,10.582,17.112,3.541,20.653
2608453,Lagoa do Carro,13.110,7.827,8.163,11.614,4.376,15.990
2608602,Lagoa do Ouro,10.977,5.959,6.162,6.018,6.103,12.121
2608701,Lagoa dos Gatos,16.100,7.825,7.790,8.641,6.974,15.615
2608750,Lagoa Grande,19.137,11.295,11.424,10.369,12.350,22.719
2608800,Lajedo,32.209,17.410,19.196,26.391,10.215,36.606
2608909,Limoeiro,56.322,26.870,28.704,44.691,10.883,55.574
2609006,Macaparana,22.494,11.661,12.246,14.817,9.090,23.907
2609105,Machados,9.826,6.565,7.067,8.481,5.151,13.632
2609154,Manari,13.028,9.197,8.990,3.844,14.343,18.187
2609204,Maraial,14.017,6.179,6.078,8.584,3.673,12.257
2609303,Mirandiba,13.122,7.116,7.192,7.141,7.167,14.308
2614303,Moreilândia,11.116,5.595,5.542,6.843,4.294,11.137
2609402,Moreno,49.205,27.722,29.045,50.250,6.517,56.767
2609501,Nazaré da Mata,29.254,14.735,16.047,27.177,3.605,30.782
2609600,Olinda,367.902,173.654,201.905,368.119,7.440,375.559
2609709,Orobó,22.475,11.058,11.807,8.216,14.649,22.865
2609808,Orocó,10.825,6.561,6.615,4.614,8.562,13.176
2609907,Ouricuri,56.733,31.688,32.647,32.577,31.758,64.335
2610004,Palmares,55.790,28.802,30.722,46.880,12.644,59.524
2610103,Palmeirina,9.536,3.985,4.203,5.178,3.010,8.188
2610202,Panelas,25.874,12.595,13.059,13.966,11.688,25.654
2610301,Paranatama,10.348,5.506,5.495,2.238,8.763,11.001
2610400,Parnamirim,19.289,10.281,9.946,8.380,11.847,20.227
2610509,Passira,29.132,14.004,14.660,13.956,14.708,28.664
2610608,Paudalho,45.138,25.216,26.158,36.953,14.421,51.374
2610707,Paulista,262.237,141.718,158.893,300.611,0,300.611
