Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2200053,Acauã,5.147,3.459,3.290,901,5.848,6.749
2200103,Agricolândia,5.340,2.467,2.647,3.617,1.497,5.114
2200202,Água Branca,14.517,7.813,8.648,14.549,1.912,16.461
2200251,Alagoinha do Piauí,6.868,3.687,3.662,2.669,4.680,7.349
2200277,Alegrete do Piauí,4.713,2.556,2.595,2.837,2.314,5.151
2200301,Alto Longá,12.000,6.966,6.688,6.714,6.940,13.654
2200400,Altos,39.122,19.114,19.709,27.391,11.432,38.823
2200459,Alvorada do Gurguéia,4.211,2.651,2.400,1.849,3.202,5.051
2200509,Amarante,16.884,8.331,8.810,8.775,8.366,17.141
2200608,Angical do Piauí,6.788,3.233,3.437,5.212,1.458,6.670
2200707,Anísio de Abreu,7.166,4.641,4.453,4.504,4.590,9.094
2200806,Antônio Almeida,2.851,1.562,1.484,2.227,819,3.046
2200905,Aroazes,6.025,2.866,2.915,3.432,2.349,5.781
2200954,Aroeiras do Itaim,0,1.274,1.168,238,2.204,2.442
2201002,Arraial,4.909,2.316,2.372,2.433,2.255,4.688
2201051,Assunção do Piauí,6.933,3.825,3.678,3.378,4.125,7.503
2201101,Avelino Lopes,9.625,5.581,5.486,6.714,4.353,11.067
2201150,Baixa Grande do Ribeiro,7.779,5.466,5.050,6.487,4.029,10.516
2201176,Barra D'Alcântara,4.107,1.821,2.031,2.032,1.820,3.852
2201200,Barras,40.891,22.562,22.288,22.126,22.724,44.850
2201309,Barreiras do Piauí,3.098,1.690,1.544,1.875,1.359,3.234
2201408,Barro Duro,6.787,3.231,3.378,4.789,1.820,6.609
2201507,Batalha,24.127,13.055,12.731,9.619,16.167,25.786
2201556,Bela Vista do Piauí,2.963,1.936,1.842,1.243,2.535,3.778
2201572,Belém do Piauí,2.429,1.682,1.602,1.603,1.681,3.284
2201606,Beneditinos,9.712,5.014,4.897,6.261,3.650,9.911
2201705,Bertolínia,5.117,2.679,2.640,3.894,1.425,5.319
2201739,Betânia do Piauí,8.640,3.114,2.901,1.678,4.337,6.015
2201770,Boa Hora,5.170,3.204,3.095,1.524,4.775,6.299
2201804,Bocaina,4.208,2.135,2.211,1.730,2.616,4.346
2201903,Bom Jesus,15.924,11.306,11.326,17.627,5.005,22.632
2201919,Bom Princípio do Piauí,4.625,2.747,2.557,1.654,3.650,5.304
2201929,Bonfim do Piauí,4.881,2.695,2.698,1.635,3.758,5.393
2201945,Boqueirão do Piauí,5.567,3.080,3.113,2.666,3.527,6.193
2201960,Brasileira,7.366,4.073,3.888,3.478,4.483,7.961
2201988,Brejo do Piauí,3.986,1.946,1.906,1.426,2.426,3.852
2202000,Buriti dos Lopes,18.598,9.623,9.451,10.294,8.780,19.074
2202026,Buriti dos Montes,7.284,4.143,3.834,2.421,5.556,7.977
2202059,Cabeceiras do Piauí,8.498,5.095,4.832,1.657,8.270,9.927
2202075,Cajazeiras do Piauí,2.667,1.699,1.644,1.112,2.231,3.343
2202083,Cajueiro da Praia,6.122,3.742,3.421,2.699,4.464,7.163
2202091,Caldeirão Grande do Piauí,5.481,2.839,2.829,1.660,4.008,5.668
2202109,Campinas do Piauí,5.141,2.713,2.693,1.805,3.601,5.406
2202117,Campo Alegre do Fidalgo,4.451,2.405,2.291,1.224,3.472,4.696
