Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
3300100,Angra dos Reis,119.247,84.490,84.780,163.080,6.190,169.270
3300159,Aperibé,8.018,5.023,5.192,8.880,1.335,10.215
3300209,Araruama,82.803,54.305,57.723,106.519,5.509,112.028
3300225,Areal,9.899,5.663,5.758,9.920,1.501,11.421
3300233,Armação dos Búzios,18.204,13.737,13.801,27.538,0,27.538
3300258,Arraial do Cabo,23.877,13.647,14.123,27.770,0,27.770
3300308,Barra do Piraí,88.503,45.208,49.647,92.040,2.815,94.855
3300407,Barra Mansa,170.753,85.822,92.039,176.251,1.610,177.861
3300456,Belford Roxo,434.474,226.757,242.504,469.261,0,469.261
3300506,Bom Jardim,22.651,12.756,12.642,15.281,10.117,25.398
3300605,Bom Jesus do Itabapoana,33.655,17.179,18.205,29.912,5.472,35.384
3300704,Cabo Frio,126.828,90.806,95.416,140.466,45.756,186.222
3300803,Cachoeiras de Macacu,48.543,27.127,27.243,47.015,7.355,54.370
3300902,Cambuci,14.670,7.402,7.427,11.301,3.528,14.829
3301009,Campos dos Goytacazes,406.989,223.100,240.445,418.565,44.980,463.545
3301108,Cantagalo,19.835,9.840,9.986,14.027,5.799,19.826
3300936,Carapebus,8.666,6.792,6.556,10.542,2.806,13.348
3301157,Cardoso Moreira,12.595,6.243,6.297,8.764,3.776,12.540
3301207,Carmo,15.289,8.603,8.836,13.474,3.965,17.439
3301306,Casimiro de Abreu,22.152,17.436,17.937,28.533,6.840,35.373
3300951,Comendador Levy Gasparian,7.924,4.080,4.103,7.865,318,8.183
3301405,Conceição de Macabu,18.782,10.543,10.657,18.332,2.868,21.200
3301504,Cordeiro,18.601,9.761,10.642,19.835,568,20.403
3301603,Duas Barras,10.334,5.512,5.421,7.739,3.194,10.933
3301702,Duque de Caxias,775.456,410.959,444.087,852.131,2.915,855.046
3301801,Engenheiro Paulo de Frontin,12.164,6.451,6.788,9.525,3.714,13.239
3301850,Guapimirim,37.952,25.289,26.198,49.757,1.730,51.487
3301876,Iguaba Grande,15.089,11.044,11.814,22.858,0,22.858
3301900,Itaboraí,187.479,106.214,111.876,215.503,2.587,218.090
3302007,Itaguaí,82.003,54.426,54.737,104.292,4.871,109.163
3302056,Italva,12.621,6.834,7.193,10.228,3.799,14.027
3302106,Itaocara,23.003,11.193,11.709,17.329,5.573,22.902
3302205,Itaperuna,86.720,46.541,49.335,88.408,7.468,95.876
3302254,Itatiaia,24.739,14.248,14.604,27.848,1.004,28.852
3302270,Japeri,83.278,48.058,47.333,95.391,0,95.391
3302304,Laje do Muriaé,7.909,3.754,3.737,5.636,1.855,7.491
3302403,Macaé,132.461,102.471,104.277,202.873,3.875,206.748
3302452,Macuco,4.886,2.528,2.741,4.593,676,5.269
3302502,Magé,205.830,110.970,117.180,215.941,12.209,228.150
3302601,Mangaratiba,24.901,17.876,18.435,31.989,4.322,36.311
3302700,Maricá,76.737,62.695,64.824,125.532,1.987,127.519
3302809,Mendes,17.289,8.657,9.283,17.706,234,17.940
3302858,Mesquita,0,79.775,88.628,168.403,0,168.403
3302908,Miguel Pereira,23.902,11.727,12.920,21.508,3.139,24.647
3303005,Miracema,27.064,13.015,13.814,24.701,2.128,26.829
3303104,Natividade,15.125,7.441,7.636,12.041,3.036,15.077
3303203,Nilópolis,153.712,73.714,83.769,157.483,0,157.483
3303302,Niterói,459.451,225.671,261.656,487.327,0,487.327
3303401,Nova Friburgo,173.418,87.242,94.774,159.335,22.681,182.016
3303500,Nova Iguaçu,920.599,381.198,414.014,786.536,8.676,795.212
3303609,Paracambi,40.475,23.753,23.321,41.677,5.397,47.074
3303708,Paraíba do Sul,37.410,19.770,21.318,36.159,4.929,41.088
3303807,Paraty,29.544,18.992,18.583,27.717,9.858,37.575
3303856,Paty do Alferes,24.931,12.819,13.562,18.607,7.774,26.381
3303906,Petrópolis,286.537,141.079,154.965,281.356,14.688,296.044
3303955,Pinheiral,19.481,11.036,11.688,20.414,2.310,22.724
3304003,Piraí,22.118,12.920,13.389,20.831,5.478,26.309
3304102,Porciúncula,15.952,8.873,8.898,13.902,3.869,17.771
3304110,Porto Real,12.095,8.232,8.342,16.481,93,16.574
3304128,Quatis,10.730,6.261,6.570,12.067,764,12.831
3304144,Queimados,121.993,66.621,71.317,137.938,0,137.938
3304151,Quissamã,13.674,10.036,10.208,13.016,7.228,20.244
3304201,Resende,104.549,58.244,61.557,112.375,7.426,119.801
3304300,Rio Bonito,49.691,27.349,28.237,41.267,14.319,55.586
3304409,Rio Claro,16.228,8.747,8.654,13.754,3.647,17.401
3304508,Rio das Flores,7.625,4.201,4.344,5.948,2.597,8.545
3304524,Rio das Ostras,36.419,52.240,53.517,99.999,5.758,105.757
3304557,Rio de Janeiro,5.857.904,2.960.954,3.362.083,6.323.037,0,6.323.037
3304607,Santa Maria Madalena,10.476,5.275,5.046,5.932,4.389,10.321
3304706,Santo Antônio de Pádua,38.692,19.946,20.623,31.086,9.483,40.569
3304805,São Fidélis,36.789,18.402,19.151,29.689,7.864,37.553
3304755,São Francisco de Itabapoana,41.145,20.802,20.555,21.090,20.267,41.357
3304904,São Gonçalo,891.119,475.336,524.565,999.161,740,999.901
3305000,São João da Barra,27.682,16.234,16.533,25.715,7.052,32.767
