Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
3500105,Adamantina,33.497,16.375,17.422,31.948,1.849,33.797
3500204,Adolfo,3.684,1.787,1.770,3.200,357,3.557
3500303,Aguaí,28.195,16.224,15.944,29.021,3.147,32.168
3500402,Águas da Prata,7.131,3.742,3.838,6.766,814,7.580
3500501,Águas de Lindóia,16.190,8.453,8.808,17.108,153,17.261
3500550,Águas de Santa Bárbara,5.224,2.777,2.821,4.256,1.342,5.598
3500600,Águas de São Pedro,1.883,1.257,1.446,2.703,0,2.703
3500709,Agudos,32.484,17.086,17.446,32.999,1.533,34.532
3500758,Alambari,3.650,2.457,2.429,3.672,1.214,4.886
3500808,Alfredo Marcondes,3.697,1.980,1.911,3.255,636,3.891
3500907,Altair,3.530,2.051,1.763,3.022,792,3.814
3501004,Altinópolis,15.481,7.802,7.807,13.643,1.966,15.609
3501103,Alto Alegre,4.261,2.109,1.996,3.237,868,4.105
3501152,Alumínio,15.252,8.502,8.343,14.130,2.715,16.845
3501202,Álvares Florence,4.316,2.001,1.900,2.652,1.249,3.901
3501301,Álvares Machado,22.661,11.633,11.873,21.180,2.326,23.506
3501400,Álvaro de Carvalho,4.109,2.959,1.691,2.952,1.698,4.650
3501509,Alvinlândia,2.837,1.482,1.518,2.693,307,3.000
3501608,Americana,182.593,103.200,107.501,209.717,984,210.701
3501707,Américo Brasiliense,28.287,17.362,17.160,34.261,261,34.522
3501806,Américo de Campos,5.594,2.862,2.844,4.788,918,5.706
3501905,Amparo,60.404,32.444,33.392,51.818,14.018,65.836
3502002,Analândia,3.582,2.197,2.092,3.401,888,4.289
3502101,Andradina,55.161,27.185,28.132,51.629,3.688,55.317
3502200,Angatuba,19.297,11.246,10.965,15.954,6.257,22.211
3502309,Anhembi,4.535,2.908,2.740,4.263,1.385,5.648
3502408,Anhumas,3.411,1.863,1.875,3.059,679,3.738
3502507,Aparecida,34.904,16.918,18.125,34.534,509,35.043
3502606,Aparecida d'Oeste,4.935,2.174,2.270,3.639,805,4.444
3502705,Apiaí,27.162,12.579,12.617,18.226,6.970,25.196
3502754,Araçariguama,11.154,8.705,8.380,11.284,5.801,17.085
3502804,Araçatuba,169.254,87.337,94.281,178.118,3.500,181.618
3502903,Araçoiaba da Serra,19.816,13.601,13.722,18.807,8.516,27.323
3503000,Aramina,4.763,2.587,2.563,4.811,339,5.150
3503109,Arandu,6.065,3.088,3.035,4.614,1.509,6.123
3503158,Arapeí,2.618,1.254,1.238,1.874,618,2.492
3503208,Araraquara,182.471,100.733,107.992,202.802,5.923,208.725
3503307,Araras,104.196,58.729,60.169,112.497,6.401,118.898
3503356,Arco-Íris,2.163,971,954,1.097,828,1.925
3503406,Arealva,7.244,3.997,3.845,6.177,1.665,7.842
3503505,Areias,3.600,1.829,1.864,2.475,1.218,3.693
3503604,Areiópolis,10.296,5.454,5.127,9.403,1.178,10.581
3503703,Ariranha,7.477,4.366,4.181,8.094,453,8.547
3503802,Artur Nogueira,33.124,22.123,22.147,40.026,4.244,44.270
3503901,Arujá,59.185,36.924,37.894,71.828,2.990,74.818
3503950,Aspásia,1.861,907,902,1.257,552,1.809
3504008,Assis,87.251,46.318,48.838,91.001,4.155,95.156
3504107,Atibaia,111.300,62.217,64.397,115.266,11.348,126.614
3504206,Auriflama,13.513,7.104,7.101,12.950,1.255,14.205
3504305,Avaí,4.596,2.506,2.453,3.330,1.629,4.959
3504404,Avanhandava,8.829,6.250,5.061,9.563,1.748,11.311
3504503,Avaré,76.472,41.134,41.801,79.392,3.543,82.935
3504602,Bady Bassitt,11.550,7.250,7.355,13.661,944,14.605
3504701,Balbinos,1.313,3.232,700,1.191,2.741,3.932
3504800,Bálsamo,7.340,3.998,4.162,7.474,686,8.160
3504909,Bananal,9.713,5.052,5.168,8.157,2.063,10.220
3505005,Barão de Antonina,2.794,1.591,1.525,1.913,1.203,3.116
3505104,Barbosa,5.837,3.323,3.270,5.575,1.018,6.593
3505203,Bariri,28.224,15.822,15.781,29.985,1.618,31.603
3505302,Barra Bonita,35.487,17.256,18.000,34.517,739,35.256
3505351,Barra do Chapéu,4.846,2.766,2.470,1.544,3.692,5.236
3505401,Barra do Turvo,8.108,4.050,3.679,3.174,4.555,7.729
3505500,Barretos,103.913,54.169,57.933,108.687,3.415,112.102
3505609,Barrinha,24.207,14.327,14.176,28.187,316,28.503
3505708,Barueri,208.281,116.977,123.679,240.656,0,240.656
3505807,Bastos,20.588,10.040,10.421,17.624,2.837,20.461
3505906,Batatais,51.112,27.749,28.732,49.954,6.527,56.481
3506003,Bauru,316.064,166.692,177.347,338.891,5.148,344.039
3506102,Bebedouro,74.815,36.531,38.513,71.512,3.532,75.044
3506201,Bento de Abreu,2.394,1.364,1.310,2.444,230,2.674
3506300,Bernardino de Campos,10.720,5.251,5.526,9.660,1.117,10.777
3506359,Bertioga,30.039,23.769,23.803,46.818,754,47.572
3506409,Bilac,6.088,3.493,3.559,6.485,567,7.052
3506508,Birigui,94.300,53.086,55.636,105.481,3.241,108.722
3506607,Biritiba-Mirim,24.653,14.412,14.161,24.530,4.043,28.573
3506706,Boa Esperança do Sul,12.573,6.884,6.774,12.197,1.461,13.658
3506805,Bocaina,9.442,5.411,5.451,10.009,853,10.862
3506904,Bofete,7.356,4.731,4.551,6.121,3.161,9.282
3507001,Boituva,34.368,24.319,24.004,45.457,2.866,48.323
3507100,Bom Jesus dos Perdões,13.313,9.914,9.789,17.386,2.317,19.703
3507159,Bom Sucesso de Itararé,3.231,1.815,1.756,2.430,1.141,3.571
3507209,Borá,795,422,383,627,178,805
3507308,Boracéia,3.739,2.178,2.090,3.827,441,4.268
3507407,Borborema,13.193,7.352,7.180,13.098,1.434,14.532
3507456,Borebi,1.933,1.144,1.151,2.002,293,2.295
3507506,Botucatu,108.306,61.789,65.581,122.718,4.652,127.370
3507605,Bragança Paulista,125.031,72.034,74.629,142.174,4.489,146.663
3507704,Braúna,4.383,2.552,2.469,4.390,631,5.021
3507753,Brejo Alegre,2.308,1.330,1.243,2.110,463,2.573
3507803,Brodowski,17.139,10.466,10.639,20.596,509,21.105
3507902,Brotas,18.886,10.711,10.869,18.599,2.981,21.580
3508009,Buri,17.629,9.502,9.064,14.995,3.571,18.566
3508108,Buritama,13.854,7.732,7.686,14.526,892,15.418
3508207,Buritizal,3.674,2.074,1.981,3.310,745,4.055
3508306,Cabrália Paulista,4.656,2.220,2.145,3.777,588,4.365
3508405,Cabreúva,33.100,21.114,20.529,35.295,6.348,41.643
3508504,Caçapava,76.130,42.040,42.804,72.619,12.225,84.844
3508603,Cachoeira Paulista,27.205,14.748,15.351,24.580,5.519,30.099
3508702,Caconde,18.378,9.285,9.251,12.633,5.903,18.536
3508801,Cafelândia,15.793,8.176,8.436,14.423,2.189,16.612
3508900,Caiabu,4.077,2.091,1.981,3.315,757,4.072
3509007,Caieiras,71.221,42.354,44.269,84.476,2.147,86.623
3509106,Caiuá,4.192,2.652,2.387,1.930,3.109,5.039
3509205,Cajamar,50.761,32.005,32.108,62.822,1.291,64.113
3509254,Cajati,29.227,14.329,14.042,20.719,7.652,28.371
3509304,Cajobi,9.174,5.014,4.745,9.124,635,9.759
3509403,Cajuru,20.777,11.700,11.678,20.802,2.576,23.378
3509452,Campina do Monte Alegre,5.209,2.853,2.714,4.710,857,5.567
3509502,Campinas,969.396,521.209,559.790,1.062.453,18.546,1.080.999
3509601,Campo Limpo Paulista,63.724,36.423,37.691,74.114,0,74.114
3509700,Campos do Jordão,44.252,23.413,24.411,47.526,298,47.824
3509809,Campos Novos Paulista,4.181,2.339,2.200,3.528,1.011,4.539
3509908,Cananéia,12.298,6.134,6.092,10.436,1.790,12.226
3509957,Canas,3.614,2.224,2.163,4.072,315,4.387
3510005,Cândido Mota,29.280,14.674,15.237,28.122,1.789,29.911
3510104,Cândido Rodrigues,2.613,1.315,1.353,2.153,515,2.668
3510153,Canitar,3.481,2.216,2.153,4.138,231,4.369
3510203,Capão Bonito,46.732,23.020,23.158,37.824,8.354,46.178
3510302,Capela do Alto,14.247,9.037,8.496,14.523,3.010,17.533
3510401,Capivari,41.468,24.359,24.214,45.901,2.672,48.573
3510500,Caraguatatuba,78.921,49.984,50.915,97.449,3.450,100.899
3510609,Carapicuíba,344.596,179.353,190.555,369.908,0,369.908
3510708,Cardoso,11.605,5.828,5.970,10.723,1.075,11.798
3510807,Casa Branca,26.800,14.998,13.314,23.156,5.156,28.312
3510906,Cássia dos Coqueiros,2.871,1.332,1.295,1.790,837,2.627
3511003,Castilho,14.948,8.975,9.031,13.592,4.414,18.006
3511102,Catanduva,105.847,54.777,58.066,111.937,906,112.843
3511201,Catiguá,6.555,3.633,3.494,6.569,558,7.127
3511300,Cedral,6.700,3.974,3.994,6.303,1.665,7.968
3511409,Cerqueira César,15.144,8.673,8.859,15.716,1.816,17.532
3511508,Cerquilho,29.508,19.653,19.996,37.599,2.050,39.649
3511607,Cesário Lange,12.883,8.059,7.488,10.495,5.052,15.547
3511706,Charqueada,13.037,7.684,7.402,13.689,1.397,15.086
3557204,Chavantes,12.194,6.028,6.086,11.139,975,12.114
3511904,Clementina,5.404,3.661,3.403,6.733,331,7.064
3512001,Colina,16.664,8.629,8.744,16.225,1.148,17.373
3512100,Colômbia,5.954,3.066,2.928,4.332,1.662,5.994
3512209,Conchal,22.676,12.765,12.477,23.858,1.384,25.242
3512308,Conchas,14.904,8.183,8.119,13.203,3.099,16.302
3512407,Cordeirópolis,17.591,10.599,10.486,18.936,2.149,21.085
3512506,Coroados,4.417,2.610,2.628,4.242,996,5.238
3512605,Coronel Macedo,5.589,2.565,2.436,3.865,1.136,5.001
3512704,Corumbataí,3.794,1.974,1.900,2.093,1.781,3.874
3512803,Cosmópolis,44.355,29.411,29.410,54.629,4.192,58.821
3512902,Cosmorama,7.372,3.652,3.562,4.945,2.269,7.214
3513009,Cotia,148.987,98.372,102.651,201.023,0,201.023
3513108,Cravinhos,28.411,15.887,15.801,30.891,797,31.688
3513207,Cristais Paulista,6.579,3.877,3.714,5.531,2.060,7.591
3513306,Cruzália,2.610,1.106,1.164,1.502,768,2.270
3513405,Cruzeiro,73.492,37.516,39.554,75.107,1.963,77.070
3513504,Cubatão,108.309,59.246,59.551,118.797,0,118.797
3513603,Cunha,23.090,11.171,10.703,12.171,9.703,21.874
3513702,Descalvado,28.921,15.329,15.724,27.702,3.351,31.053
3513801,Diadema,357.064,186.752,199.287,386.039,0,386.039
3513850,Dirce Reis,1.623,875,814,1.279,410,1.689
3513900,Divinolândia,12.016,5.588,5.621,7.500,3.709,11.209
3514007,Dobrada,7.007,4.116,3.825,7.764,177,7.941
3514106,Dois Córregos,22.522,12.420,12.348,23.453,1.315,24.768
3514205,Dolcinópolis,2.152,1.091,1.005,1.949,147,2.096
3514304,Dourado,8.606,4.363,4.244,7.867,740,8.607
3514403,Dracena,40.500,21.406,21.857,39.946,3.317,43.263
3514502,Duartina,12.475,5.970,6.281,10.997,1.254,12.251
3514601,Dumont,6.307,4.096,4.047,7.854,289,8.143
3514700,Echaporã,6.827,3.115,3.203,5.032,1.286,6.318
3514809,Eldorado,14.134,7.479,7.166,7.209,7.436,14.645
3514908,Elias Fausto,13.888,8.169,7.627,12.577,3.219,15.796
3514924,Elisiário,2.577,1.650,1.470,2.858,262,3.120
3514957,Embaúba,2.478,1.259,1.164,2.060,363,2.423
3515004,Embu,207.663,116.572,123.435,240.007,0,240.007
3515103,Embu-Guaçu,56.916,31.178,31.668,61.180,1.666,62.846
3515129,Emilianópolis,2.893,1.519,1.505,2.497,527,3.024
3515152,Engenheiro Coelho,10.033,8.232,7.487,11.499,4.220,15.719
3515186,Espírito Santo do Pinhal,40.480,20.513,21.406,37.254,4.665,41.919
3515194,Espírito Santo do Turvo,3.677,2.146,2.100,3.632,614,4.246
3557303,Estiva Gerbi,8.856,5.074,4.970,8.011,2.033,10.044
3515301,Estrela do Norte,2.625,1.369,1.292,2.102,559,2.661
3515202,Estrela d'Oeste,8.256,4.133,4.075,6.831,1.377,8.208
3515350,Euclides da Cunha Paulista,10.214,4.835,4.750,6.111,3.474,9.585
3515400,Fartura,15.010,7.428,7.896,12.242,3.082,15.324
3515608,Fernando Prestes,5.434,2.726,2.808,4.698,836,5.534
3515509,Fernandópolis,61.647,31.517,33.190,62.725,1.982,64.707
3515657,Fernão,1.432,794,769,850,713,1.563
3515707,Ferraz de Vasconcelos,142.377,82.165,86.125,160.751,7.539,168.290
3515806,Flora Rica,2.177,880,872,1.418,334,1.752
3515905,Floreal,3.223,1.496,1.507,2.439,564,3.003
