Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2800100,Amparo de São Francisco,2.182,1.135,1.140,1.840,435,2.275
2800209,Aquidabã,18.344,9.808,10.258,11.460,8.606,20.066
2800308,Aracaju,461.534,265.321,305.616,570.937,0,570.937
2800407,Arauá,9.762,4.887,4.812,4.486,5.213,9.699
2800506,Areia Branca,14.824,8.511,8.371,8.191,8.691,16.882
2800605,Barra dos Coqueiros,17.807,12.221,12.791,20.895,4.117,25.012
2800670,Boquim,24.188,12.532,12.996,15.998,9.530,25.528
2800704,Brejo Grande,7.102,3.938,3.807,4.022,3.723,7.745
2801009,Campo do Brito,15.175,8.212,8.554,8.334,8.432,16.766
2801108,Canhoba,3.965,2.062,1.885,1.499,2.448,3.947
2801207,Canindé de São Francisco,17.754,12.293,12.400,14.067,10.626,24.693
2801306,Capela,26.518,15.272,15.497,19.752,11.017,30.769
2801405,Carira,17.770,9.965,10.025,11.151,8.839,19.990
2801504,Carmópolis,9.352,6.671,6.829,10.701,2.799,13.500
2801603,Cedro de São João,5.378,2.780,2.853,5.035,598,5.633
2801702,Cristinápolis,14.268,8.295,8.224,8.336,8.183,16.519
2801900,Cumbe,3.646,1.903,1.910,2.271,1.542,3.813
2802007,Divina Pastora,3.266,2.189,2.137,2.099,2.227,4.326
2802106,Estância,59.002,31.415,33.049,54.796,9.668,64.464
2802205,Feira Nova,5.068,2.630,2.695,3.588,1.737,5.325
2802304,Frei Paulo,11.973,6.777,7.077,8.204,5.650,13.854
2802403,Gararu,11.363,5.849,5.609,2.831,8.627,11.458
2802502,General Maynard,2.400,1.417,1.497,1.843,1.071,2.914
2802601,Gracho Cardoso,5.519,2.891,2.757,2.706,2.942,5.648
2802700,Ilha das Flores,8.281,4.168,4.180,5.435,2.913,8.348
2802809,Indiaroba,13.152,8.049,7.812,5.585,10.276,15.861
2802908,Itabaiana,76.813,42.514,44.467,67.717,19.264,86.981
2803005,Itabaianinha,35.454,19.373,19.513,19.390,19.496,38.886
2803104,Itabi,5.174,2.478,2.494,2.752,2.220,4.972
2803203,Itaporanga d'Ajuda,25.482,15.164,15.264,11.872,18.556,30.428
2803302,Japaratuba,14.556,8.386,8.488,7.916,8.958,16.874
2803401,Japoatã,13.020,6.481,6.466,4.309,8.638,12.947
2803500,Lagarto,83.334,46.498,48.354,48.889,45.963,94.852
2803609,Laranjeiras,23.560,13.138,13.765,21.258,5.645,26.903
2803708,Macambira,5.802,3.168,3.243,3.069,3.342,6.411
2803807,Malhada dos Bois,3.208,1.755,1.706,1.600,1.861,3.461
2803906,Malhador,11.481,6.085,5.971,5.626,6.430,12.056
2804003,Maruim,15.454,8.015,8.323,12.045,4.293,16.338
2804102,Moita Bonita,10.758,5.478,5.556,4.618,6.416,11.034
2804201,Monte Alegre de Sergipe,11.587,6.890,6.731,8.045,5.576,13.621
2804300,Muribeca,7.101,3.683,3.659,3.288,4.054,7.342
2804409,Neópolis,18.593,9.238,9.273,10.519,7.992,18.511
2804458,Nossa Senhora Aparecida,8.279,4.255,4.255,3.457,5.053,8.510
2804508,Nossa Senhora da Glória,26.910,16.085,16.429,21.633,10.881,32.514
2804607,Nossa Senhora das Dores,22.195,12.128,12.451,16.027,8.552,24.579
2804706,Nossa Senhora de Lourdes,6.023,3.153,3.089,3.290,2.952,6.242
2804805,Nossa Senhora do Socorro,131.679,78.314,82.515,155.836,4.993,160.829
2804904,Pacatuba,11.536,6.687,6.450,2.688,10.449,13.137
2805000,Pedra Mole,2.630,1.497,1.471,1.192,1.776,2.968
2805109,Pedrinhas,7.929,4.346,4.475,6.464,2.357,8.821
2805208,Pinhão,5.244,2.925,3.048,3.319,2.654,5.973
2805307,Pirambu,7.255,4.212,4.157,4.906,3.463,8.369
2805406,Poço Redondo,26.022,15.766,15.111,8.536,22.341,30.877
2805505,Poço Verde,19.973,10.865,11.103,12.306,9.662,21.968
2805604,Porto da Folha,25.664,13.876,13.248,9.929,17.195,27.124
2805703,Propriá,27.385,13.850,14.607,24.393,4.064,28.457
2805802,Riachão do Dantas,19.202,9.732,9.662,4.872,14.522,19.394
2805901,Riachuelo,8.337,4.550,4.801,7.851,1.500,9.351
2806008,Ribeirópolis,15.439,8.488,8.675,11.916,5.247,17.163
2806107,Rosário do Catete,7.102,4.447,4.775,6.504,2.718,9.222
2806206,Salgado,18.876,9.658,9.704,6.691,12.671,19.362
2806305,Santa Luzia do Itanhy,13.948,7.141,6.773,2.915,10.999,13.914
2806503,Santa Rosa de Lima,3.595,1.889,1.863,2.137,1.615,3.752
2806404,Santana do São Francisco,6.135,3.540,3.498,4.523,2.515,7.038
2806602,Santo Amaro das Brotas,10.670,5.604,5.785,8.202,3.187,11.389
2806701,São Cristóvão,64.647,38.404,40.472,66.682,12.194,78.876
2806800,São Domingos,9.260,5.081,5.176,5.141,5.116,10.257
2806909,São Francisco,2.532,1.708,1.687,2.379,1.016,3.395
